iter	Logloss
0	0.6596649696
1	0.6351429638
2	0.6122352023
3	0.593636513
4	0.5815727912
5	0.5692649882
6	0.5591170325
7	0.5525043478
8	0.5439299344
9	0.539254421
10	0.5353759078
11	0.5297840889
12	0.5266930179
13	0.5242133456
14	0.5211993074
15	0.5188038493
16	0.5164625473
17	0.5141212145
18	0.5122433807
19	0.5106871282
20	0.5096417189
21	0.5081085343
22	0.5070627063
23	0.5060445919
24	0.5042798232
25	0.5027269749
26	0.5021098917
27	0.5014491574
28	0.5002268911
29	0.4996164589
30	0.499338662
31	0.4990800093
32	0.4985964037
33	0.4971986136
34	0.4968159183
35	0.4965411625
36	0.4963020521
37	0.4960543783
38	0.4958177789
39	0.4956446682
40	0.4953799395
41	0.4945101205
42	0.4942703993
43	0.4938806921
44	0.4935726019
45	0.4933872865
46	0.4932596037
47	0.4931691032
48	0.4928719806
49	0.4927773232
50	0.492703473
51	0.4925931191
52	0.4924921573
53	0.4923532753
54	0.4922867947
55	0.4921659882
56	0.4920891491
57	0.4919495699
58	0.4918556187
59	0.4917940294
60	0.4916800687
61	0.491607967
62	0.4915499095
63	0.4914865391
64	0.4911311697
65	0.4910627934
66	0.4909958657
67	0.4909220002
68	0.4908559211
69	0.4908034881
70	0.4906419407
71	0.490554307
72	0.4904720851
73	0.4903255456
74	0.4902886486
75	0.490014184
76	0.4899563551
77	0.4899068389
78	0.4898557749
79	0.4898288018
80	0.4897773965
81	0.4897295609
82	0.4896748667
83	0.4896394355
84	0.4896073557
85	0.4893641799
86	0.4893196764
87	0.4892789379
88	0.4892497927
89	0.4890665887
90	0.4890241016
91	0.4889763665
92	0.4889385838
93	0.4888820616
94	0.488857611
95	0.4888246342
96	0.4887956584
97	0.4887633987
98	0.4887390841
99	0.4886331519
100	0.4885972594
101	0.4885626842
102	0.4884993223
103	0.4884639244
104	0.4884362991
105	0.4883983339
106	0.4883794525
107	0.4883301883
108	0.488298228
109	0.4882629518
110	0.4882351133
111	0.4881909117
112	0.4881637001
