iter	Passed	Remaining
0	11	7608
1	22	7397
2	34	7397
3	45	7360
4	56	7346
5	67	7296
6	79	7335
7	90	7271
8	101	7235
9	112	7234
10	123	7165
11	134	7141
12	145	7132
13	156	7101
14	175	7426
15	196	7796
16	208	7778
17	220	7751
18	237	7887
19	249	7857
20	259	7799
21	271	7772
22	283	7735
23	294	7700
24	304	7637
25	316	7604
26	326	7553
27	337	7510
28	347	7463
29	359	7439
30	370	7417
31	381	7386
32	393	7366
33	404	7334
34	415	7307
35	426	7282
36	438	7270
37	449	7253
38	460	7228
39	471	7207
40	482	7184
41	493	7158
42	504	7130
43	515	7113
44	526	7091
45	537	7071
46	548	7053
47	559	7030
48	580	7127
49	590	7102
50	601	7076
51	612	7053
52	622	7025
53	633	7004
54	645	6993
55	656	6972
56	667	6957
57	678	6937
58	689	6916
59	700	6899
60	711	6882
61	722	6862
62	732	6839
63	743	6817
64	753	6793
65	764	6772
66	774	6755
67	786	6740
68	797	6727
69	808	6709
70	818	6686
71	829	6670
72	841	6659
73	852	6647
74	863	6628
75	873	6605
76	883	6588
77	894	6573
78	906	6561
79	916	6543
80	928	6531
81	939	6520
82	951	6508
83	963	6503
84	975	6494
85	986	6480
86	997	6465
87	1008	6452
88	1020	6443
89	1031	6428
90	1053	6486
91	1066	6477
92	1076	6460
93	1087	6445
94	1098	6431
95	1109	6415
96	1120	6398
97	1131	6385
98	1141	6367
99	1151	6345
100	1161	6327
101	1172	6313
102	1184	6299
103	1195	6286
104	1205	6271
105	1217	6259
106	1227	6242
107	1239	6230
108	1249	6214
109	1260	6200
110	1272	6189
111	1283	6177
112	1294	6165
113	1305	6147
114	1316	6136
115	1326	6119
116	1337	6106
117	1347	6088
118	1358	6074
119	1369	6058
120	1379	6040
121	1389	6026
122	1400	6013
123	1411	5999
124	1422	5987
125	1433	5973
126	1443	5957
127	1454	5942
128	1464	5928
129	1475	5914
130	1486	5900
131	1497	5887
132	1508	5874
133	1519	5862
134	1530	5848
135	1541	5835
136	1551	5820
137	1563	5810
138	1573	5796
139	1584	5783
140	1595	5771
141	1606	5758
142	1617	5745
143	1627	5731
144	1637	5715
145	1649	5704
146	1660	5692
147	1671	5681
148	1682	5669
149	1693	5655
150	1704	5643
151	1715	5630
152	1725	5616
153	1735	5601
154	1746	5587
155	1756	5573
156	1766	5559
157	1777	5545
158	1788	5532
159	1799	5521
160	1809	5508
161	1820	5496
162	1831	5484
163	1842	5470
164	1853	5459
165	1863	5445
166	1876	5437
167	1886	5423
168	1897	5412
169	1908	5400
170	1919	5387
171	1930	5377
172	1941	5363
173	1951	5350
174	1962	5339
175	1974	5327
176	1985	5317
177	1998	5311
178	2009	5299
179	2020	5287
180	2031	5276
181	2042	5263
182	2053	5251
183	2064	5240
184	2075	5227
185	2086	5216
186	2098	5207
187	2109	5194
188	2120	5182
189	2130	5169
190	2142	5159
191	2152	5144
192	2162	5131
193	2173	5119
194	2183	5105
195	2194	5094
196	2205	5082
197	2215	5069
198	2226	5056
199	2237	5044
200	2247	5031
201	2257	5018
202	2267	5005
203	2278	4992
204	2289	4981
205	2299	4967
206	2311	4956
207	2322	4945
208	2332	4932
209	2342	4919
210	2353	4907
211	2363	4895
212	2374	4883
213	2385	4870
214	2395	4858
215	2405	4844
216	2416	4833
217	2426	4820
218	2436	4807
219	2448	4796
220	2459	4785
221	2470	4773
222	2480	4761
223	2491	4750
224	2502	4737
225	2512	4725
226	2523	4712
227	2532	4698
228	2545	4689
229	2555	4678
230	2567	4668
231	2578	4657
232	2590	4646
233	2599	4631
234	2609	4620
235	2621	4610
236	2631	4597
237	2643	4586
238	2654	4576
239	2665	4563
240	2675	4552
241	2687	4542
242	2698	4530
243	2709	4519
244	2720	4507
245	2731	4496
246	2741	4483
247	2752	4472
248	2763	4461
249	2773	4449
250	2784	4437
251	2795	4425
252	2805	4414
253	2815	4400
254	2826	4388
255	2836	4376
256	2847	4364
257	2856	4351
258	2867	4339
259	2877	4327
260	2888	4316
261	2897	4302
262	2908	4290
263	2920	4280
264	2931	4270
265	2942	4258
266	2952	4246
267	2963	4235
268	2973	4223
269	2984	4210
270	2994	4199
271	3005	4187
272	3016	4176
273	3027	4166
274	3038	4154
275	3048	4142
276	3059	4130
277	3069	4118
278	3079	4105
279	3089	4093
280	3100	4082
281	3111	4071
282	3122	4059
283	3132	4047
284	3143	4036
285	3153	4024
286	3164	4012
287	3174	4000
288	3184	3988
289	3194	3977
290	3205	3966
291	3216	3955
292	3228	3944
293	3239	3933
294	3249	3920
295	3259	3909
296	3270	3897
297	3280	3886
298	3291	3875
299	3303	3864
300	3314	3853
301	3324	3842
302	3336	3831
303	3347	3821
304	3358	3810
305	3368	3797
306	3378	3785
307	3389	3774
308	3399	3762
309	3408	3749
310	3418	3737
311	3428	3725
312	3437	3712
313	3448	3700
314	3458	3688
315	3467	3676
316	3478	3665
317	3489	3653
318	3500	3642
319	3510	3631
320	3520	3618
321	3530	3606
322	3541	3595
323	3552	3585
324	3563	3574
325	3573	3562
326	3583	3550
327	3593	3538
328	3604	3527
329	3614	3516
330	3624	3504
331	3633	3491
332	3642	3478
333	3653	3467
334	3664	3456
335	3675	3445
336	3687	3435
337	3697	3423
338	3706	3410
339	3716	3399
340	3727	3388
341	3738	3377
342	3748	3365
343	3758	3354
344	3767	3341
345	3778	3330
346	3788	3319
347	3798	3306
348	3809	3296
349	3819	3284
350	3830	3273
351	3839	3261
352	3851	3251
353	3861	3239
354	3872	3228
355	3882	3217
356	3893	3206
357	3904	3195
358	3914	3183
359	3924	3172
360	3934	3160
361	3946	3150
362	3955	3138
363	3964	3126
364	3975	3114
365	3985	3103
366	3995	3091
367	4006	3081
368	4018	3070
369	4027	3058
370	4037	3046
371	4046	3035
372	4057	3023
373	4065	3011
374	4076	2999
375	4087	2989
376	4094	2976
377	4105	2964
378	4115	2953
379	4126	2942
380	4137	2932
381	4149	2922
382	4161	2911
383	4171	2900
384	4181	2888
385	4192	2877
386	4201	2866
387	4211	2854
388	4222	2843
389	4232	2832
390	4243	2821
391	4253	2810
392	4262	2797
393	4270	2785
394	4281	2774
395	4292	2763
396	4302	2752
397	4311	2740
398	4321	2729
399	4330	2717
400	4341	2706
401	4349	2694
402	4360	2683
403	4369	2671
404	4379	2659
405	4389	2648
406	4400	2638
407	4411	2627
408	4422	2616
409	4433	2605
410	4443	2594
411	4455	2584
412	4465	2573
413	4477	2563
414	4487	2552
415	4496	2540
416	4506	2528
417	4517	2517
418	4527	2506
419	4536	2495
420	4545	2483
421	4555	2472
422	4565	2461
423	4576	2449
424	4586	2439
425	4597	2428
426	4608	2417
427	4620	2407
428	4630	2396
429	4640	2384
430	4651	2374
431	4660	2362
432	4670	2351
433	4680	2340
434	4691	2329
435	4701	2318
436	4709	2306
437	4719	2295
438	4730	2284
439	4740	2273
440	4751	2262
441	4762	2252
442	4772	2240
443	4781	2229
444	4792	2218
445	4803	2207
446	4811	2195
447	4820	2184
448	4831	2173
449	4840	2162
450	4850	2151
451	4862	2140
452	4871	2129
453	4881	2118
454	4893	2107
455	4903	2096
456	4912	2085
457	4922	2074
458	4933	2063
459	4941	2051
460	4951	2040
461	4962	2030
462	4973	2019
463	4985	2009
464	4996	1998
465	5005	1987
466	5014	1975
467	5024	1964
468	5035	1954
469	5045	1943
470	5056	1932
471	5068	1921
472	5078	1911
473	5089	1900
474	5099	1889
475	5107	1877
476	5117	1866
477	5128	1855
478	5138	1845
479	5149	1834
480	5159	1823
481	5171	1813
482	5180	1802
483	5191	1791
484	5201	1780
485	5211	1769
486	5222	1758
487	5233	1747
488	5243	1737
489	5253	1726
490	5265	1715
491	5275	1704
492	5286	1694
493	5297	1683
494	5307	1672
495	5318	1661
496	5328	1651
497	5339	1640
498	5351	1630
499	5361	1619
500	5369	1607
501	5379	1596
502	5390	1585
503	5400	1575
504	5410	1564
505	5421	1553
506	5431	1542
507	5441	1531
508	5453	1521
