iter	Logloss
0	0.6767879488
1	0.6629915956
2	0.6513976105
3	0.6417923574
4	0.6337894973
5	0.6275465564
6	0.6216672257
7	0.6169222463
8	0.6134365257
9	0.6100319345
10	0.6068173595
11	0.6042934026
12	0.602169308
13	0.5998400369
14	0.5980907764
15	0.596307012
16	0.5950799622
17	0.5938615465
18	0.5924668996
19	0.5914265278
20	0.5904857699
21	0.5895555259
22	0.5885552865
23	0.5878990015
24	0.5872994084
25	0.5866654803
26	0.5859909188
27	0.5854425663
28	0.5850372159
29	0.5845201122
30	0.5841152051
31	0.5836830356
32	0.583325483
33	0.5829399887
34	0.582581603
35	0.5822876328
36	0.581985638
37	0.5816911168
38	0.5814147784
39	0.5811306166
40	0.5808900274
41	0.5807299624
42	0.580480215
43	0.5803073621
44	0.5800415321
45	0.5798150777
46	0.5795793763
47	0.5793953727
48	0.5792309928
49	0.5790212373
50	0.5788460016
51	0.5787154583
52	0.5786059828
53	0.5784057491
54	0.5782871501
55	0.5781952835
56	0.5780956647
57	0.5779831856
58	0.5778390847
59	0.5777130697
60	0.5776144775
61	0.57748852
62	0.5773621762
63	0.5772515762
64	0.5770999708
65	0.5769744233
66	0.5768960977
67	0.5768060162
68	0.5767281514
69	0.576656373
70	0.5765547039
71	0.5764885468
72	0.576403944
73	0.5763092595
74	0.5762852873
75	0.5762355441
76	0.5761365844
77	0.5760587657
78	0.5759831322
79	0.5759420156
80	0.5758720358
81	0.5758012521
82	0.5757279487
83	0.5756640749
84	0.5756019862
85	0.575540605
86	0.5754882518
87	0.5754467933
88	0.5753635063
89	0.5753131637
90	0.5752739504
91	0.5752258583
92	0.5751997367
93	0.5751560868
94	0.5751040733
95	0.5750687523
96	0.5750283493
97	0.574984353
98	0.5749056152
99	0.5748413198
100	0.5747963872
101	0.5747487098
102	0.5747014376
103	0.5746626606
104	0.5746166452
105	0.5746091109
106	0.5745736383
107	0.5745445119
108	0.5744975973
109	0.5744848185
110	0.5744371666
111	0.5743879797
112	0.5743364668
113	0.5742845894
114	0.5742197245
115	0.5741882921
116	0.5741458781
117	0.5741429568
118	0.5740969268
119	0.5740586911
120	0.574029163
121	0.5739982134
122	0.5739703411
123	0.5739610626
124	0.573932353
125	0.5738986666
126	0.5738596515
127	0.5738287971
128	0.5737864269
129	0.5737545772
130	0.5737219124
131	0.5736970983
132	0.5736602662
133	0.5736298667
134	0.5735778911
135	0.5735345394
136	0.5735064565
137	0.5734840086
138	0.5734735422
139	0.5734310981
140	0.5734061472
141	0.5733744873
142	0.5733496728
143	0.5733221666
144	0.5732925866
145	0.5732846472
146	0.5732572985
147	0.5732192953
148	0.5731807573
149	0.5731449437
150	0.5731157271
151	0.5730667195
152	0.573054877
153	0.5730209965
154	0.5729982085
155	0.5729817682
156	0.5729526495
157	0.5729445317
158	0.5729180245
159	0.5729119754
160	0.5728976551
161	0.5728807011
162	0.5728610364
163	0.5728319261
164	0.5728223421
165	0.5728020916
166	0.5727550655
167	0.5727118448
168	0.5726560861
169	0.5726097484
170	0.5726056579
171	0.5725699265
172	0.5725609135
173	0.5725454715
174	0.5725213782
175	0.5724914219
176	0.5724782108
177	0.5724527575
178	0.572424762
179	0.5724215847
180	0.5724049864
181	0.572401896
