iter	Logloss
0	0.6776839287
1	0.6643638992
2	0.6539595888
3	0.6444450231
4	0.6372786303
5	0.6320744592
6	0.6263904319
7	0.6216589722
8	0.6179733522
9	0.6146130926
10	0.6117537325
11	0.6093212006
12	0.6073331549
13	0.6060902602
14	0.6042255499
15	0.6026119706
16	0.6012082369
17	0.5999435154
18	0.5988996051
19	0.597889922
20	0.5971186213
21	0.5961672466
22	0.5954978642
23	0.5949488736
24	0.5944075837
25	0.5938400024
26	0.5932199713
27	0.5924696128
28	0.5919328934
29	0.5913230974
30	0.5909360624
31	0.5902322275
32	0.5897274824
33	0.5892456539
34	0.5887037903
35	0.5881486945
36	0.587743276
37	0.5873326782
38	0.5868889944
39	0.5865394521
40	0.586204475
41	0.5858849941
42	0.5856011191
43	0.5853884084
44	0.5851637843
45	0.5849371056
46	0.5846812324
47	0.5844880965
48	0.5842669512
49	0.5840632088
50	0.5838357044
51	0.5836659704
52	0.5835323043
53	0.5833818606
54	0.5832233232
55	0.5830811259
56	0.582969221
57	0.5828175054
58	0.5826385736
59	0.5825237558
60	0.5823866537
61	0.5822467136
62	0.5821206341
63	0.5820191854
64	0.581914217
65	0.5817849788
66	0.581676973
67	0.5815760007
68	0.581378776
69	0.5812849524
70	0.5812018027
71	0.5810879772
72	0.5809902225
73	0.5809078074
74	0.5808376513
75	0.5807751891
76	0.5806624177
77	0.5806090718
78	0.5805187375
79	0.5803886507
80	0.5803001965
81	0.5802417641
82	0.5801577327
83	0.5800937727
84	0.5800202335
85	0.5799628881
86	0.5799214806
87	0.5798742907
88	0.5797772141
89	0.5797079452
90	0.5795523998
91	0.5795052696
92	0.5794531482
93	0.5794063999
94	0.5793683801
95	0.5793272113
96	0.5792473794
97	0.5792000745
98	0.5790737842
99	0.5789999064
100	0.5789523947
101	0.5789196964
102	0.5788741185
103	0.5788265922
104	0.5787755708
105	0.5787379485
106	0.5787036348
107	0.5786409332
108	0.5786006847
109	0.5785358783
110	0.5784606984
111	0.5784313519
112	0.5783890031
113	0.5783638319
114	0.5783219122
115	0.5782589846
116	0.5782257148
117	0.5781957411
118	0.5781438599
119	0.5781138151
120	0.5780761805
121	0.5780368946
122	0.578004216
123	0.5779581155
124	0.5779252084
125	0.5779037456
126	0.5778746592
127	0.5778250187
128	0.5778002633
129	0.5777710107
130	0.5777368408
131	0.5776890439
132	0.5776699786
133	0.5776493996
134	0.5776301152
135	0.5776174551
136	0.5775899372
137	0.5775611392
138	0.5775399443
139	0.5775248261
140	0.5775083862
141	0.5774761307
142	0.5774395096
143	0.5774042111
144	0.577384564
145	0.5773653416
146	0.5773361353
147	0.5773092243
148	0.5772760716
149	0.5772433948
150	0.5772199618
151	0.5771904824
152	0.5771634529
153	0.5771481785
154	0.5771217577
155	0.577102005
156	0.5770798302
157	0.5770642803
158	0.5770519943
159	0.5770182637
160	0.5769940728
161	0.5769639485
162	0.5769481436
163	0.5769161947
164	0.5769037626
165	0.5768853456
166	0.5768455662
167	0.5768270365
168	0.5768089463
169	0.5767405801
170	0.57672048
171	0.5766934695
172	0.5766601952
173	0.5766352566
174	0.5766191962
175	0.5765873707
176	0.5765671273
177	0.5765448566
178	0.5765368876
179	0.5765256683
180	0.5765109006
181	0.576490438
182	0.57646661
183	0.5764466126
184	0.5764353285
185	0.5764182504
186	0.5764078176
187	0.5763960217
188	0.5763661388
189	0.5763502323
190	0.5763464676
191	0.5763315106
192	0.5763197817
193	0.5763119211
194	0.5762956438
195	0.5762770511
196	0.5761993444
197	0.5761820205
198	0.5761631955
199	0.5761459866
200	0.5761321659
201	0.5761219948
202	0.5761108831
203	0.5760918527
204	0.5760637271
205	0.5760491549
206	0.5760388832
207	0.5760236974
208	0.5760110177
209	0.5759628572
210	0.5759490416
211	0.5759344664
212	0.5759325868
213	0.5759080419
214	0.5759001058
215	0.5758842535
216	0.5758697501
217	0.5758571508
218	0.5758452714
