iter	Passed	Remaining
0	52	94428
1	96	86445
2	149	89660
3	197	88591
4	243	87211
5	287	85810
6	331	84889
7	377	84621
8	418	83265
9	463	82934
10	505	82152
11	548	81691
12	592	81457
13	634	80895
14	678	80650
15	724	80781
16	764	80097
17	812	80386
18	854	80056
19	891	79295
20	927	78527
21	972	78587
22	1010	78002
23	1048	77560
24	1093	77601
25	1133	77298
26	1180	77483
27	1215	76882
28	1260	76907
29	1301	76742
30	1348	76894
31	1392	76883
32	1436	76868
33	1491	77422
34	1537	77509
35	1577	77265
36	1618	77061
37	1663	77110
38	1708	77104
39	1748	76878
40	1787	76648
41	1831	76620
42	1866	76216
43	1908	76104
44	1948	75930
45	1989	75802
46	2028	75611
47	2075	75697
48	2106	75243
49	2149	75175
50	2188	75026
51	2237	75170
52	2284	75275
53	2325	75150
54	2373	75255
55	2415	75171
56	2461	75219
57	2502	75118
58	2546	75095
59	2588	75022
60	2632	75017
61	2678	75037
62	2721	75005
63	2762	74896
64	2800	74719
65	2842	74635
66	2887	74635
67	2936	74742
68	2982	74768
69	3024	74710
70	3073	74794
71	3113	74670
72	3152	74543
73	3191	74393
74	3232	74297
75	3281	74394
76	3324	74343
77	3375	74480
78	3422	74514
79	3461	74369
80	3504	74321
81	3555	74459
82	3605	74549
83	3645	74437
84	3684	74293
85	3731	74333
86	3780	74396
87	3834	74556
88	3871	74380
89	3916	74372
90	3966	74442
91	4011	74425
92	4052	74342
93	4105	74460
94	4152	74486
95	4199	74503
96	4243	74458
97	4288	74427
98	4337	74474
99	4382	74465
100	4430	74491
101	4479	74522
102	4518	74398
103	4560	74329
104	4608	74349
105	4656	74377
106	4703	74373
107	4751	74388
108	4798	74405
109	4846	74422
110	4887	74329
111	4939	74394
112	4983	74361
113	5022	74236
114	5067	74202
115	5109	74128
116	5151	74053
117	5199	74065
118	5244	74037
119	5291	74041
120	5335	73995
121	5381	73972
122	5427	73954
123	5476	73981
124	5526	74012
125	5576	74037
126	5614	73913
127	5658	73874
128	5710	73930
129	5753	73862
130	5791	73748
131	5838	73737
132	5888	73764
133	5934	73733
134	5984	73768
135	6030	73745
136	6069	73637
137	6109	73538
138	6157	73540
139	6209	73581
140	6255	73557
141	6303	73558
142	6351	73554
143	6400	73557
144	6446	73529
145	6498	73571
146	6542	73520
147	6583	73438
148	6627	73394
149	6666	73282
150	6718	73326
151	6759	73243
152	6801	73170
153	6851	73191
154	6901	73200
155	6943	73133
156	6992	73132
157	7043	73151
158	7075	72981
159	7114	72878
160	7162	72873
161	7204	72804
162	7256	72831
163	7296	72740
164	7347	72763
165	7395	72756
166	7433	72643
167	7476	72589
168	7528	72614
169	7588	72712
170	7632	72668
171	7674	72591
172	7724	72597
173	7767	72538
174	7815	72528
175	7868	72563
176	7917	72554
177	7965	72542
178	8007	72472
179	8052	72425
180	8103	72435
181	8152	72429
182	8194	72362
183	8240	72326
184	8294	72362
185	8340	72331
186	8397	72386
187	8450	72409
188	8491	72332
189	8540	72327
190	8588	72306
191	8634	72266
192	8685	72276
193	8739	72305
194	8785	72267
195	8827	72193
196	8877	72192
197	8917	72104
198	8956	72013
199	8999	71954
200	9051	71961
201	9099	71939
202	9141	71869
203	9188	71842
204	9233	71798
205	9281	71771
206	9329	71751
207	9377	71730
208	9423	71688
209	9478	71720
210	9526	71700
211	9568	71630
212	9626	71676
213	9674	71652
214	9725	71654
215	9777	71658
216	9829	71658
217	9874	71609
218	9924	71599
219	9972	71578
220	10020	71551
221	10073	71559
222	10125	71559
223	10170	71509
224	10212	71439
225	10258	71398
226	10304	71360
227	10351	71322
228	10389	71231
229	10432	71164
230	10480	71137
231	10523	71081
232	10576	71087
233	10629	71093
234	10680	71083
235	10729	71059
236	10773	71006
237	10822	70984
238	10872	70965
239	10917	70918
240	10967	70899
241	11025	70935
242	11068	70874
243	11126	70908
244	11166	70825
245	11214	70799
246	11258	70739
247	11296	70648
248	11341	70596
249	11382	70528
250	11442	70569
251	11492	70548
252	11544	70546
253	11588	70486
254	11635	70454
255	11688	70451
256	11732	70392
257	11778	70350
258	11829	70338
259	11872	70278
260	11909	70176
261	11953	70124
262	12002	70099
263	12058	70111
264	12106	70081
265	12154	70047
266	12197	69987
267	12244	69947
268	12290	69905
269	12340	69885
270	12385	69833
271	12435	69815
272	12486	69796
273	12527	69722
274	12573	69677
275	12617	69622
276	12664	69587
277	12717	69578
278	12772	69585
279	12817	69533
280	12852	69428
281	12901	69402
282	12957	69411
283	13007	69390
284	13053	69341
285	13093	69265
286	13143	69242
287	13192	69214
288	13240	69178
289	13286	69134
290	13333	69097
291	13376	69037
292	13416	68961
293	13468	68945
294	13518	68922
295	13573	68924
296	13620	68883
297	13664	68828
298	13717	68815
299	13760	68758
300	13808	68723
301	13859	68701
302	13906	68659
303	13955	68630
304	14006	68610
305	14060	68604
306	14109	68569
307	14144	68474
308	14196	68457
309	14243	68413
310	14288	68365
311	14331	68305
312	14382	68283
313	14426	68226
314	14471	68177
315	14522	68153
316	14574	68137
317	14617	68075
318	14667	68049
319	14719	68032
320	14760	67961
321	14808	67927
322	14864	67925
323	14919	67922
324	14974	67915
325	15022	67876
326	15076	67867
327	15123	67826
328	15170	67782
329	15223	67766
330	15277	67756
331	15329	67734
332	15378	67701
333	15431	67687
334	15476	67635
335	15524	67595
336	15577	67578
337	15627	67551
338	15677	67520
339	15726	67487
340	15775	67450
341	15820	67398
342	15871	67374
343	15924	67353
344	15974	67323
345	16022	67285
346	16068	67236
347	16119	67210
348	16172	67192
349	16225	67172
350	16270	67122
351	16323	67101
352	16372	67065
353	16417	67014
354	16462	66964
355	16510	66921
356	16556	66876
357	16606	66842
358	16656	66812
359	16704	66770
360	16757	66753
361	16810	66732
362	16855	66677
363	16900	66627
364	16944	66570
365	16987	66513
366	17035	66470
367	17082	66424
368	17125	66368
369	17176	66338
370	17226	66307
371	17268	66242
372	17311	66184
373	17356	66132
374	17406	66098
375	17452	66049
376	17501	66012
377	17551	65979
378	17596	65928
379	17651	65914
380	17707	65902
381	17759	65876
382	17800	65810
383	17842	65747
384	17894	65721
385	17940	65672
386	17985	65622
387	18040	65607
388	18086	65557
389	18133	65511
390	18183	65478
391	18222	65405
392	18272	65372
393	18324	65344
394	18380	65333
395	18429	65296
396	18475	65244
397	18517	65182
398	18572	65167
399	18620	65125
400	18667	65079
401	18712	65027
402	18764	65001
403	18810	64953
404	18866	64937
405	18922	64924
406	18961	64850
407	19011	64816
408	19063	64788
409	19110	64743
410	19161	64711
411	19207	64660
412	19261	64640
413	19316	64622
414	19358	64560
415	19414	64543
416	19460	64494
417	19504	64439
418	19555	64408
419	19607	64378
420	19659	64348
421	19702	64288
422	19747	64236
423	19794	64191
424	19839	64141
425	19884	64087
426	19932	64044
427	19984	64016
428	20035	63982
429	20083	63939
430	20126	63881
431	20175	63842
432	20227	63812
433	20277	63775
434	20323	63726
435	20370	63680
436	20418	63639
437	20471	63610
438	20521	63575
439	20562	63510
440	20612	63472
441	20663	63441
442	20714	63405
443	20761	63358
444	20806	63306
445	20858	63277
446	20904	63226
447	20952	63184
448	20998	63135
449	21048	63098
450	21096	63056
451	21145	63015
452	21194	62974
453	21246	62944
454	21293	62897
455	21337	62841
456	21387	62806
457	21443	62786
458	21494	62749
459	21546	62720
460	21598	62688
461	21645	62642
462	21693	62597
463	21741	62554
464	21790	62512
465	21839	62472
466	21892	62443
467	21946	62416
468	21985	62347
469	22031	62298
470	22079	62252
471	22121	62194
472	22172	62157
473	22219	62111
474	22267	62067
475	22322	62043
476	22364	61983
477	22410	61932
478	22455	61882
479	22505	61843
480	22560	61818
481	22604	61764
482	22653	61722
483	22708	61697
484	22757	61655
485	22805	61612
486	22863	61595
487	22920	61574
488	22964	61521
489	22999	61441
490	23043	61386
491	23097	61358
492	23139	61299
493	23194	61272
494	23244	61234
495	23294	61195
496	23336	61134
497	23385	61092
498	23432	61047
499	23481	61004
500	23530	60962
501	23561	60875
502	23613	60840
503	23657	60787
504	23701	60732
505	23745	60678
506	23799	60648
507	23840	60587
508	23890	60546
509	23928	60479
510	23977	60437
511	24031	60406
512	24085	60377
513	24129	60324
514	24181	60290
515	24234	60256
516	24283	60216
517	24325	60155
518	24371	60107
519	24422	60069
520	24464	60009
521	24514	59971
522	24571	59948
523	24616	59896
524	24665	59854
525	24718	59822
526	24767	59780
527	24823	59754
528	24872	59712
529	24925	59679
530	24982	59657
531	25024	59597
532	25075	59559
533	25120	59507
534	25171	59470
535	25220	59428
536	25269	59384
537	25325	59360
538	25375	59318
539	25418	59263
540	25457	59197
541	25506	59154
542	25553	59107
543	25603	59065
544	25651	59022
545	25701	58981
546	25754	58949
547	25800	58898
548	25851	58859
549	25898	58812
550	25947	58770
551	25995	58725
552	26039	58671
553	26087	58625
554	26141	58595
555	26183	58536
556	26232	58493
557	26279	58446
558	26335	58418
559	26384	58376
560	26443	58354
561	26490	58307
562	26541	58268
563	26583	58211
564	26638	58180
565	26687	58136
566	26732	58084
567	26780	58041
568	26825	57988
569	26878	57954
570	26934	57924
571	26986	57889
572	27033	57841
573	27073	57779
574	27130	57752
575	27182	57716
576	27228	57665
577	27274	57615
578	27325	57577
579	27382	57550
580	27432	57509
581	27487	57478
582	27535	57431
583	27584	57388
584	27635	57349
585	27689	57317
586	27741	57278
587	27794	57243
588	27846	57206
589	27897	57165
590	27942	57113
591	27995	57078
592	28039	57025
593	28090	56985
594	28129	56921
595	28179	56878
596	28227	56833
597	28274	56784
598	28318	56731
599	28368	56688
600	28411	56632
601	28464	56598
602	28517	56562
603	28564	56513
604	28606	56456
605	28653	56409
606	28693	56346
607	28749	56316
608	28802	56280
609	28852	56237
610	28907	56206
611	28961	56172
612	29010	56127
613	29061	56086
614	29103	56029
615	29148	55978
616	29200	55940
617	29253	55904
618	29306	55867
619	29357	55825
620	29414	55798
621	29471	55768
622	29521	55725
623	29581	55701
624	29629	55656
625	29681	55617
626	29728	55568
627	29783	55536
628	29833	55492
629	29889	55461
630	29944	55427
631	29996	55389
632	30045	55343
633	30095	55301
634	30137	55244
635	30189	55205
636	30244	55170
637	30286	55113
638	30335	55069
639	30384	55025
640	30432	54978
641	30482	54934
642	30526	54881
643	30571	54830
644	30626	54795
645	30676	54751
646	30732	54719
647	30776	54665
648	30827	54625
649	30876	54579
650	30930	54544
651	30972	54486
652	31024	54447
653	31076	54407
654	31131	54373
655	31184	54334
656	31238	54298
657	31292	54262
658	31345	54224
659	31399	54188
660	31446	54138
661	31494	54092
662	31538	54038
663	31578	53978
664	31632	53942
665	31677	53889
666	31729	53849
667	31780	53808
668	31824	53754
669	31881	53723
670	31929	53675
671	31973	53622
672	32018	53570
673	32067	53525
674	32114	53477
675	32159	53425
676	32208	53378
677	32254	53329
678	32300	53279
679	32344	53225
680	32390	53176
681	32437	53127
682	32492	53092
683	32547	53056
684	32594	53007
685	32646	52967
686	32686	52908
687	32734	52859
688	32783	52815
689	32834	52772
690	32883	52728
691	32935	52686
692	32985	52642
693	33031	52592
694	33083	52553
695	33139	52518
696	33188	52472
697	33242	52435
698	33292	52391
699	33334	52334
700	33379	52283
701	33426	52235
702	33477	52192
703	33528	52150
704	33578	52106
705	33623	52054
706	33680	52020
707	33729	51975
708	33780	51932
709	33828	51886
710	33869	51828
711	33918	51782
712	33960	51726
713	34007	51678
714	34057	51634
715	34111	51595
716	34165	51557
717	34214	51512
718	34263	51466
719	34316	51427
720	34372	51392
721	34423	51349
722	34472	51303
723	34519	51254
724	34573	51216
725	34625	51174
726	34674	51128
727	34721	51081
728	34776	51044
729	34823	50995
730	34864	50937
731	34916	50896
732	34970	50858
733	35021	50815
734	35068	50765
735	35122	50726
736	35177	50689
737	35221	50636
738	35275	50598
739	35317	50541
740	35363	50491
741	35416	50452
742	35464	50404
743	35515	50361
744	35567	50319
745	35606	50260
746	35650	50206
747	35702	50164
748	35753	50121
749	35806	50082
750	35858	50039
751	35901	49985
752	35948	49936
753	35992	49884
754	36044	49841
755	36091	49792
756	36142	49749
757	36185	49695
758	36228	49640
759	36275	49592
760	36325	49547
761	36378	49506
762	36432	49467
763	36475	49413
764	36529	49374
765	36574	49322
766	36624	49278
767	36677	49237
768	36720	49184
769	36776	49146
770	36828	49104
771	36879	49061
772	36931	49018
773	36976	48968
774	37027	48923
775	37075	48876
776	37120	48825
777	37179	48791
778	37230	48748
779	37278	48700
780	37336	48666
781	37380	48613
782	37430	48568
783	37485	48530
784	37537	48487
785	37587	48443
786	37638	48399
787	37684	48349
788	37738	48308
789	37784	48258
790	37838	48219
791	37885	48170
792	37934	48123
793	37987	48082
794	38043	48044
795	38092	47997
796	38140	47951
797	38191	47906
798	38246	47868
799	38288	47812
800	38339	47768
801	38383	47716
802	38437	47676
803	38491	47636
804	38531	47578
805	38581	47532
806	38633	47489
807	38683	47445
808	38733	47399
809	38786	47357
810	38834	47310
811	38891	47273
812	38944	47231
813	38987	47177
814	39038	47133
815	39088	47088
816	39144	47049
817	39194	47004
818	39244	46959
819	39298	46918
820	39348	46872
821	39396	46824
822	39447	46780
823	39500	46738
824	39551	46694
825	39601	46648
826	39647	46598
827	39700	46557
828	39749	46510
829	39795	46460
830	39845	46414
831	39895	46369
832	39951	46330
833	40005	46288
834	40056	46245
835	40112	46206
836	40154	46150
837	40203	46104
838	40281	46091
839	40331	46045
840	40374	45991
841	40421	45942
842	40472	45897
843	40523	45853
844	40578	45813
845	40629	45768
846	40678	45721
847	40730	45677
848	40773	45623
849	40825	45580
850	40881	45541
851	40930	45494
852	40986	45455
853	41041	45415
854	41087	45364
855	41138	45319
856	41192	45277
857	41237	45226
858	41291	45184
859	41340	45138
860	41389	45091
861	41435	45041
862	41486	44996
863	41530	44943
864	41575	44891
865	41619	44839
866	41670	44794
867	41719	44747
868	41770	44702
869	41822	44658
870	41873	44614
871	41930	44574
872	41978	44527
873	42027	44479
874	42073	44430
875	42127	44387
876	42176	44340
877	42223	44291
878	42276	44248
879	42327	44203
880	42380	44160
881	42426	44110
882	42471	44058
883	42525	44016
