iter	Logloss
0	0.6707239032
1	0.6533391936
2	0.6403759628
3	0.630787144
4	0.6228145561
5	0.6172104183
6	0.6124487178
7	0.6090156701
8	0.6064703195
9	0.603866071
10	0.6021090247
11	0.6008191219
12	0.5996883996
13	0.5978803296
14	0.5958445546
15	0.5945046068
16	0.593517959
17	0.5923676371
18	0.5913745054
19	0.5904468421
20	0.58976059
21	0.5890485009
22	0.5885258603
23	0.5879893016
24	0.5873171447
25	0.5867079587
26	0.5861661507
27	0.585421955
28	0.5848486945
29	0.5844961949
30	0.5841801919
31	0.5838206661
32	0.5835406084
33	0.5832583014
34	0.5830988148
35	0.5828938169
36	0.5826799658
37	0.5824768765
38	0.5822938667
39	0.5821368939
40	0.5819897881
41	0.5817959946
42	0.5816779924
43	0.5815601662
44	0.5814336509
45	0.5812324253
46	0.5810968401
47	0.5809331182
48	0.5807836684
49	0.5806797792
50	0.5806014265
51	0.5804985204
52	0.5804132949
53	0.5803341457
54	0.5802241522
55	0.5801021099
56	0.5799831167
57	0.5799120235
58	0.57984252
59	0.5797529365
60	0.579478647
61	0.579377446
62	0.5792971172
63	0.5791633825
64	0.5790984753
65	0.57904092
66	0.5789794254
67	0.5788675945
68	0.5788011268
69	0.5787514119
70	0.5786704643
71	0.5786108219
72	0.5785531773
73	0.5784686922
74	0.5784085404
75	0.5783560862
76	0.5782913824
77	0.578239999
78	0.5781979539
79	0.5781570367
80	0.5781254616
81	0.5780797328
82	0.5780274754
83	0.5779523781
84	0.5779092436
85	0.5778662163
86	0.5778276227
87	0.5777760159
88	0.5777492249
89	0.5777086714
90	0.5776850193
91	0.577655057
92	0.5775762794
93	0.5774189829
94	0.5773492563
95	0.5772998611
96	0.5772752811
97	0.5772497038
98	0.5772347855
99	0.5771854104
100	0.5771373821
101	0.5770920969
102	0.5770662188
103	0.5770189434
104	0.5769727244
105	0.5769381111
106	0.5769147297
107	0.5769008001
108	0.5768644623
109	0.5768174626
110	0.5767883448
111	0.5767678403
112	0.5767484022
113	0.5767176114
114	0.5766922369
115	0.5766551933
116	0.5765261406
117	0.5764726828
118	0.5764394754
119	0.5764204094
120	0.5763930311
121	0.576370924
122	0.5763366306
123	0.576319943
124	0.5762986725
125	0.5762793722
126	0.5762554551
127	0.5762433532
128	0.5762279188
129	0.5762117969
130	0.5761997751
131	0.5761652958
132	0.5761447759
133	0.5761180227
134	0.5760963281
135	0.576082599
136	0.5760636449
137	0.5760419276
138	0.575957273
139	0.5758744087
140	0.5758545817
141	0.5758350741
142	0.5758106727
143	0.5757882309
144	0.5757754564
145	0.5757631105
146	0.5757370152
147	0.5757196316
148	0.5756951817
149	0.5756731563
150	0.5756545974
151	0.5756450145
152	0.575635479
153	0.5755959934
154	0.5755691697
155	0.5755345287
156	0.5755242166
157	0.5754854815
158	0.5754718947
159	0.5754571277
160	0.5754205032
161	0.5754013107
162	0.5753827514
163	0.5753685075
164	0.5753383907
165	0.5753255299
166	0.5753081012
167	0.57528587
168	0.5752704924
169	0.5752483497
170	0.5752175852
171	0.5751860136
172	0.5751373835
173	0.575116672
174	0.5750965538
175	0.5750843096
176	0.5750565611
177	0.5750221663
178	0.574994785
179	0.5749748024
180	0.5749542011
181	0.5749365362
182	0.5748970788
183	0.5748864521
184	0.5748710746
185	0.5748523957
186	0.5748267725
187	0.5748006867
188	0.574774707
189	0.5747529123
190	0.5746898068
191	0.5746621237
192	0.5746254155
193	0.5746031714
194	0.5745871003
195	0.5745655386
196	0.5745249671
197	0.5745103588
198	0.5744709734
199	0.5744453609
200	0.5744229256
201	0.5744049042
202	0.5743867388
203	0.5743699018
204	0.574309292
205	0.5742880924
206	0.5742684517
207	0.574251949
208	0.5742270713
209	0.5742184526
210	0.5742012685
211	0.5741816928
212	0.5741637678
213	0.5741516877
214	0.5741440345
215	0.5741247536
216	0.5741113925
217	0.5741045901
218	0.5740830542
219	0.5740725503
220	0.5740624156
221	0.5740551336
222	0.5740350571
223	0.5740030368
224	0.5739925001
225	0.5739805971
226	0.5739613507
227	0.5739476893
228	0.5739423427
229	0.5739376876
230	0.5739252734
231	0.5738981641
232	0.5738736192
233	0.5738515773
234	0.5738279947
235	0.5738189761
236	0.5738027924
237	0.5737930994
238	0.5737722904
239	0.5737312198
240	0.5737122125
241	0.5736958621
242	0.5736849038
243	0.5736680387
244	0.5736532249
245	0.5736465938
246	0.5736229394
247	0.5735969652
248	0.5735846927
249	0.5735763137
250	0.5735645078
251	0.5735600936
252	0.5735557466
253	0.5735505131
254	0.5735341361
255	0.5735011592
256	0.5734888062
257	0.5734738614
258	0.5734585098
259	0.5734340014
260	0.5734290247
261	0.5734098088
262	0.5733836075
263	0.5733623696
264	0.5733477253
265	0.5733321409
266	0.5733152189
267	0.5733002003
268	0.5732827114
269	0.5732397883
270	0.5732228513
271	0.5732117985
272	0.5731913478
273	0.573177572
274	0.5731633411
275	0.5731558409
276	0.5731415565
277	0.5731282371
278	0.5731100961
279	0.5731048498
280	0.5730919673
281	0.5730820988
282	0.5730696042
283	0.5730573355
284	0.5730542087
285	0.5730506597
286	0.5730454497
287	0.5730297935
288	0.5730221244
