iter	Passed	Remaining
0	71	145058
1	132	133744
2	183	123307
3	234	118391
4	291	117290
5	349	117301
6	389	111970
7	441	110999
8	488	109125
9	536	107864
10	578	105717
11	616	103195
12	656	101301
13	702	100605
14	751	100396
15	799	100122
16	841	99178
17	880	97901
18	927	97703
19	971	97193
20	1015	96673
21	1065	96723
22	1137	98778
23	1192	99140
24	1250	99767
25	1295	99350
26	1337	98699
27	1387	98711
28	1431	98297
29	1472	97657
30	1521	97641
31	1567	97350
32	1614	97217
33	1664	97200
34	1715	97266
35	1761	97075
36	1814	97244
37	1857	96870
38	1913	97201
39	1957	96873
40	2005	96796
41	2046	96390
42	2097	96421
43	2147	96420
44	2190	96156
45	2229	95684
46	2275	95504
47	2317	95224
48	2361	94992
49	2404	94736
50	2453	94735
51	2489	94235
52	2547	94551
53	2602	94767
54	2647	94591
55	2690	94353
56	2738	94295
57	2783	94174
58	2834	94216
59	2881	94138
60	2937	94339
61	2983	94228
62	3028	94073
63	3067	93750
64	3114	93677
65	3164	93687
66	3208	93527
67	3254	93427
68	3301	93349
69	3351	93368
70	3396	93225
71	3448	93296
72	3496	93264
73	3543	93175
74	3589	93096
75	3638	93077
76	3677	92788
77	3729	92853
78	3776	92796
79	3829	92866
80	3880	92888
81	3933	92969
82	3980	92899
83	4025	92770
84	4078	92842
85	4130	92892
86	4173	92734
87	4216	92572
88	4271	92679
89	4322	92701
90	4377	92791
91	4430	92844
92	4491	93062
93	4558	93395
94	4606	93342
95	4654	93289
96	4703	93255
97	4750	93170
98	4802	93195
99	4847	93071
100	4893	92967
101	4934	92782
102	4987	92823
103	5036	92780
104	5082	92699
105	5137	92772
106	5191	92807
107	5246	92886
108	5291	92766
109	5335	92644
110	5384	92602
111	5424	92413
112	5469	92306
113	5516	92235
114	5571	92299
115	5626	92356
116	5678	92364
117	5722	92243
118	5775	92257
119	5828	92291
120	5876	92233
121	5926	92193
122	5975	92163
123	6029	92186
124	6072	92063
125	6118	91974
126	6182	92157
127	6235	92163
128	6298	92331
129	6348	92290
130	6407	92399
131	6462	92427
132	6510	92368
133	6560	92341
134	6608	92271
135	6663	92315
136	6720	92364
137	6769	92317
138	6822	92328
139	6883	92431
140	6931	92374
141	6985	92385
142	7036	92366
143	7087	92334
144	7138	92310
145	7194	92343
146	7234	92182
147	7283	92127
148	7339	92157
149	7383	92045
150	7436	92043
151	7492	92073
152	7538	91992
153	7584	91904
154	7633	91844
155	7678	91744
156	7719	91604
157	7763	91495
158	7817	91493
159	7859	91371
160	7902	91243
161	7957	91261
162	8003	91180
163	8051	91122
164	8091	90968
165	8142	90938
166	8193	90915
167	8244	90882
168	8294	90851
169	8347	90838
170	8392	90749
171	8442	90708
172	8487	90614
173	8531	90512
174	8581	90473
175	8635	90477
176	8676	90343
177	8722	90260
178	8770	90208
179	8822	90188
180	8875	90179
181	8927	90161
182	8977	90116
183	9030	90113
184	9083	90102
185	9132	90044
186	9180	89984
187	9230	89943
188	9278	89891
189	9334	89906
190	9392	89945
191	9441	89888
192	9496	89896
193	9547	89865
194	9605	89899
195	9659	89890
196	9709	89850
197	9752	89741
198	9801	89693
199	9857	89704
200	9903	89625
201	9955	89597
202	10003	89539
203	10057	89528
204	10107	89486
205	10161	89476
206	10212	89445
207	10267	89445
208	10320	89429
209	10374	89414
210	10424	89371
211	10470	89294
212	10524	89287
213	10573	89230
214	10627	89218
215	10671	89125
216	10736	89205
217	10795	89235
218	10847	89205
219	10896	89152
220	10948	89122
221	10998	89078
222	11050	89044
223	11097	88981
224	11149	88951
225	11194	88860
226	11251	88868
227	11307	88870
228	11354	88799
229	11401	88733
230	11455	88720
231	11499	88625
232	11540	88506
233	11592	88475
234	11636	88385
235	11687	88350
236	11736	88299
237	11790	88281
238	11830	88160
239	11884	88146
240	11927	88046
241	11985	88057
242	12038	88031
243	12092	88016
244	12143	87975
245	12197	87958
246	12244	87891
247	12287	87793
248	12338	87760
249	12389	87720
250	12445	87710
251	12481	87571
252	12529	87507
253	12580	87471
254	12636	87465
255	12690	87442
256	12755	87503
257	12807	87466
258	12861	87451
259	12906	87368
260	12953	87302
261	13004	87258
262	13056	87227
263	13119	87262
264	13173	87240
265	13238	87295
266	13280	87193
267	13336	87181
268	13389	87153
269	13444	87138
270	13496	87107
271	13544	87045
272	13588	86955
273	13637	86899
274	13693	86893
275	13747	86865
276	13802	86853
277	13857	86833
278	13908	86792
279	13957	86736
280	14005	86675
281	14060	86659
282	14115	86636
283	14159	86552
284	14209	86505
285	14264	86483
286	14326	86506
287	14387	86527
288	14448	86541
289	14492	86455
290	14544	86414
291	14592	86358
292	14647	86332
293	14697	86283
294	14754	86276
295	14803	86219
296	14855	86183
297	14902	86115
298	14954	86075
299	15006	86036
300	15057	85991
301	15112	85970
302	15165	85935
303	15215	85886
304	15277	85906
305	15327	85853
306	15384	85844
307	15436	85802
308	15494	85798
309	15539	85715
310	15583	85635
311	15640	85622
312	15698	85617
313	15760	85626
314	15816	85607
315	15868	85566
316	15921	85534
317	15975	85501
318	16031	85485
319	16081	85434
320	16135	85405
321	16185	85351
322	16236	85302
323	16287	85257
324	16342	85230
325	16389	85165
326	16438	85109
327	16492	85075
328	16547	85052
329	16595	84988
330	16644	84932
331	16704	84930
332	16750	84859
333	16799	84801
334	16865	84833
335	16914	84772
336	16960	84700
337	17013	84663
338	17062	84607
339	17114	84566
340	17172	84552
341	17225	84513
342	17271	84442
343	17319	84384
344	17373	84348
345	17438	84370
346	17487	84310
347	17539	84268
348	17588	84213
349	17631	84126
350	17684	84087
351	17733	84033
352	17787	84000
353	17836	83942
354	17884	83879
355	17927	83795
356	17980	83757
357	18029	83699
358	18087	83685
359	18143	83661
360	18195	83618
361	18240	83545
362	18287	83477
363	18347	83469
364	18399	83426
365	18455	83403
366	18517	83404
367	18566	83347
368	18620	83313
369	18670	83260
370	18733	83264
371	18791	83248
372	18846	83217
373	18904	83200
374	18958	83164
375	19008	83109
376	19061	83071
377	19113	83027
378	19159	82957
379	19211	82913
380	19251	82815
381	19292	82725
382	19347	82692
383	19401	82659
384	19454	82618
385	19505	82570
386	19560	82538
387	19615	82505
388	19660	82432
389	19716	82404
390	19759	82324
391	19813	82287
392	19871	82267
393	19931	82255
394	19981	82200
395	20036	82168
396	20084	82107
397	20146	82106
398	20208	82099
399	20257	82042
400	20312	82008
401	20365	81966
402	20417	81922
403	20472	81888
404	20524	81845
405	20571	81779
406	20629	81759
407	20680	81708
408	20734	81669
409	20795	81660
410	20847	81614
411	20900	81572
412	20953	81531
413	21010	81502
414	21052	81419
415	21103	81370
416	21149	81302
417	21202	81258
418	21247	81187
419	21302	81152
420	21354	81107
421	21413	81088
422	21458	81014
423	21514	80982
424	21564	80928
425	21613	80871
426	21674	80860
427	21730	80829
428	21787	80800
429	21836	80743
430	21887	80693
431	21932	80623
432	21981	80563
433	22038	80535
434	22081	80457
435	22135	80417
436	22191	80387
437	22242	80338
438	22296	80297
439	22351	80263
440	22407	80228
441	22462	80192
442	22514	80148
443	22570	80113
444	22613	80036
445	22667	79998
446	22714	79931
447	22770	79900
448	22808	79804
449	22855	79739
450	22909	79699
451	22958	79643
452	23012	79605
453	23064	79557
454	23109	79486
455	23161	79440
456	23217	79406
457	23272	79368
458	23329	79341
459	23378	79284
460	23429	79234
461	23485	79200
462	23533	79140
463	23581	79079
464	23639	79052
465	23687	78990
466	23745	78965
467	23799	78926
468	23850	78873
469	23902	78827
470	23952	78774
471	24003	78723
472	24060	78691
473	24111	78642
474	24169	78615
475	24229	78592
476	24277	78531
477	24330	78489
478	24376	78420
479	24429	78376
480	24481	78330
481	24538	78297
482	24600	78284
483	24649	78226
484	24693	78154
485	24746	78110
486	24801	78069
487	24865	78060
488	24913	78002
489	24971	77971
490	25023	77923
491	25075	77875
492	25123	77815
493	25179	77781
494	25227	77719
495	25269	77642
496	25326	77610
497	25377	77558
498	25426	77500
499	25471	77433
500	25530	77405
501	25579	77349
502	25631	77300
503	25681	77247
504	25726	77180
505	25782	77143
506	25832	77089
507	25885	77045
508	25944	77018
509	25999	76979
510	26054	76938
511	26104	76885
512	26156	76838
513	26210	76796
514	26264	76754
515	26315	76702
516	26368	76656
517	26412	76585
518	26468	76550
519	26514	76484
520	26562	76424
521	26615	76378
522	26653	76292
523	26703	76237
524	26749	76173
525	26800	76122
526	26847	76058
527	26895	76000
528	26945	75947
529	26997	75899
530	27051	75855
531	27103	75807
532	27154	75758
533	27205	75707
534	27257	75659
535	27318	75634
536	27375	75600
537	27424	75546
538	27482	75512
539	27531	75457
540	27592	75434
541	27654	75411
542	27710	75375
543	27755	75307
544	27799	75238
545	27861	75216
546	27909	75155
547	27958	75099
548	28015	75066
549	28072	75028
550	28129	74994
551	28186	74960
552	28238	74911
553	28283	74844
554	28337	74800
555	28389	74751
556	28440	74699
557	28490	74647
558	28546	74608
559	28622	74621
560	28673	74571
561	28726	74525
562	28775	74467
563	28824	74411
564	28873	74356
565	28921	74296
566	28969	74237
567	29017	74177
568	29076	74148
569	29124	74089
570	29182	74055
571	29236	74011
572	29291	73970
573	29348	73932
574	29401	73888
575	29457	73847
576	29511	73804
577	29557	73741
578	29610	73693
579	29659	73638
580	29713	73592
581	29760	73531
582	29807	73470
583	29869	73445
584	29921	73396
585	29965	73328
586	30020	73286
587	30077	73250
588	30127	73195
589	30176	73139
590	30227	73088
591	30283	73048
592	30328	72983
593	30377	72925
594	30427	72871
595	30479	72823
596	30535	72783
597	30588	72736
598	30642	72692
599	30699	72654
600	30758	72622
601	30815	72584
602	30858	72515
603	30901	72444
604	30949	72385
605	31004	72343
606	31048	72276
607	31097	72219
608	31155	72185
609	31206	72133
610	31267	72104
611	31315	72046
612	31366	71993
613	31417	71943
614	31469	71892
615	31518	71838
616	31572	71793
617	31627	71750
618	31685	71714
619	31744	71681
620	31785	71606
621	31836	71554
622	31884	71497
623	31938	71451
624	31985	71391
625	32026	71318
626	32082	71276
627	32139	71239
628	32191	71189
629	32246	71147
630	32295	71092
631	32345	71037
632	32395	70983
633	32459	70959
634	32507	70902
635	32562	70859
636	32612	70805
637	32663	70754
638	32715	70703
639	32767	70655
640	32819	70605
641	32873	70559
642	32928	70517
643	32982	70472
644	33034	70421
645	33082	70363
646	33128	70301
647	33180	70253
648	33220	70178
649	33274	70133
650	33326	70082
651	33376	70030
652	33433	69990
653	33489	69949
654	33542	69901
655	33590	69844
656	33649	69809
657	33708	69773
658	33756	69714
659	33804	69657
660	33853	69602
661	33903	69547
662	33950	69487
663	34003	69440
664	34056	69393
665	34107	69340
666	34159	69291
667	34206	69232
668	34255	69176
669	34305	69122
670	34355	69069
671	34412	69029
672	34466	68983
673	34521	68940
674	34577	68898
675	34633	68856
676	34682	68802
677	34732	68748
678	34784	68698
679	34839	68654
680	34898	68618
681	34952	68572
682	35006	68526
683	35058	68477
684	35104	68415
685	35158	68369
686	35211	68322
687	35258	68262
688	35308	68207
689	35358	68155
690	35409	68103
691	35451	68034
692	35500	67977
693	35553	67930
694	35599	67869
695	35650	67818
696	35709	67781
697	35765	67738
698	35813	67682
699	35863	67628
700	35916	67580
701	35961	67517
702	36015	67472
703	36064	67415
704	36117	67368
705	36174	67327
706	36227	67279
707	36281	67232
708	36338	67193
709	36393	67149
710	36442	67092
711	36490	67036
712	36549	66998
713	36601	66948
714	36651	66895
715	36710	66858
716	36767	66818
717	36822	66772
718	36876	66726
719	36927	66675
720	36979	66625
721	37032	66576
722	37086	66530
723	37140	66483
724	37196	66441
725	37240	66376
726	37294	66329
727	37351	66287
728	37405	66241
729	37459	66195
730	37503	66131
731	37555	66081
732	37606	66028
733	37656	65976
734	37708	65925
735	37761	65877
736	37808	65818
737	37858	65765
738	37908	65711
739	37958	65658
740	38010	65607
741	38068	65568
742	38128	65531
743	38181	65483
744	38232	65430
