iter	Logloss
0	0.6814192282
1	0.6710155602
2	0.6616294971
3	0.6537512393
4	0.6463540314
5	0.6401690708
6	0.6345635402
7	0.6299090975
8	0.6252167762
9	0.6211686395
10	0.6175915764
11	0.614531562
12	0.6116863035
13	0.6090463991
14	0.6068471201
15	0.6047415469
16	0.6028583447
17	0.6011940665
18	0.599528734
19	0.5980633654
20	0.5966813858
21	0.5955004323
22	0.5942615937
23	0.5932831294
24	0.5924107241
25	0.5915142808
26	0.5907385296
27	0.5899489388
28	0.5891838874
29	0.5886208203
30	0.588023791
31	0.5873823236
32	0.5868240805
33	0.5863791099
34	0.5858192393
35	0.5855096633
36	0.5850987571
37	0.5846365141
38	0.5842876174
39	0.5838689536
40	0.5835360554
41	0.5831894408
42	0.5829224328
43	0.5825951268
44	0.5822604479
45	0.582003641
46	0.5816903346
47	0.5814170269
48	0.5811543636
49	0.5809273665
50	0.5808221397
51	0.5806272567
52	0.5804057658
53	0.5802341577
54	0.580091783
55	0.5799387536
56	0.5797271418
57	0.5795643672
58	0.5794111568
59	0.5792356393
60	0.5790870853
61	0.5789545176
62	0.5788510075
63	0.5786727646
64	0.5785160753
65	0.5784142824
66	0.5782784316
67	0.5782143236
68	0.5781271412
69	0.5779951571
70	0.5778535683
71	0.5777409062
72	0.5776287531
73	0.5775133608
74	0.5774385919
75	0.5773235322
76	0.5772133624
77	0.5771138619
78	0.5769942635
79	0.5768767928
80	0.5767765621
81	0.5766790088
82	0.5765984095
83	0.5765147658
84	0.5764268287
85	0.5764175109
86	0.5763148154
87	0.5762439717
88	0.5761661077
89	0.5760872328
90	0.5760122331
91	0.5759308186
92	0.5758655799
93	0.575808702
94	0.575800744
95	0.5757492032
96	0.575693601
97	0.5756401936
98	0.5755735058
99	0.575499635
100	0.5754476672
101	0.5753814257
102	0.5753048232
103	0.5752275825
104	0.5751555569
105	0.5751143557
106	0.575057894
107	0.5750057627
108	0.5749249274
109	0.5748917998
110	0.5748443726
111	0.574780935
112	0.5747111805
113	0.5746615225
114	0.5745844102
115	0.5745271775
116	0.5744993574
117	0.5744433213
118	0.5744339702
119	0.5743718808
120	0.5743084679
121	0.5742850951
122	0.5742092413
123	0.5741858294
124	0.5741638268
125	0.5741344528
126	0.5741297069
127	0.5740925488
128	0.5740606503
129	0.5740066845
130	0.5739730214
131	0.5739424752
132	0.5738797337
133	0.5738771796
134	0.5738208758
135	0.5737543103
136	0.5737284106
137	0.5736968319
138	0.5736530372
139	0.5736506075
140	0.5736142894
141	0.5735754325
142	0.5735228193
143	0.5734982253
144	0.5734590409
145	0.5734019579
146	0.5733676175
