iter	Passed	Remaining
0	73	130794
1	137	121890
2	192	113347
3	252	111872
4	323	114561
5	391	115375
6	460	116184
7	522	115227
8	580	113808
9	648	114328
10	714	114487
11	782	114868
12	835	113095
13	899	112975
14	964	112986
15	1022	112324
16	1081	111737
17	1139	111116
18	1195	110332
19	1253	109837
20	1323	110401
21	1388	110512
22	1449	110269
23	1508	109948
24	1573	110012
25	1635	109895
26	1699	109913
27	1759	109679
28	1813	109082
29	1872	108786
30	1938	108945
31	2004	109060
32	2066	108943
33	2127	108809
34	2183	108404
35	2244	108279
36	2310	108421
37	2386	108984
38	2480	110283
39	2535	109856
40	2591	109475
41	2657	109511
42	2727	109746
43	2800	110062
44	2869	110193
45	2935	110205
46	3004	110330
47	3066	110202
48	3130	110153
49	3201	110317
50	3267	110332
51	3331	110250
52	3385	109882
53	3452	109916
54	3516	109854
55	3591	110128
56	3659	110176
57	3720	110004
58	3788	110058
59	3860	110227
60	3917	109947
61	3987	110050
62	4042	109725
63	4110	109753
64	4173	109671
65	4235	109541
66	4299	109481
67	4353	109164
68	4420	109177
69	4476	108918
70	4553	109157
71	4617	109084
72	4683	109065
73	4746	108972
74	4811	108926
75	4887	109141
76	4953	109102
77	5022	109132
78	5092	109204
79	5168	109385
80	5231	109280
81	5307	109451
82	5380	109546
83	5436	109305
84	5509	109417
85	5570	109280
86	5628	109076
87	5693	109010
88	5757	108945
89	5825	108940
90	5895	108977
91	5954	108792
92	6009	108557
93	6073	108483
94	6148	108595
95	6218	108636
96	6296	108789
97	6363	108759
98	6430	108725
99	6455	108002
100	6523	108000
101	6592	108003
102	6655	107905
103	6712	107715
104	6793	107926
105	6855	107813
106	6924	107809
107	7001	107947
108	7071	107950
109	7143	107996
110	7200	107812
111	7272	107849
112	7340	107830
113	7404	107760
114	7485	107918
115	7555	107926
116	7597	107534
117	7649	107285
118	7719	107293
119	7786	107260
120	7861	107326
121	7933	107358
122	7993	107227
123	8038	106895
124	8107	106890
125	8172	106832
126	8243	106836
127	8311	106812
128	8379	106794
129	8448	106778
130	8509	106664
131	8581	106686
132	8643	106586
133	8705	106484
134	8776	106490
135	8852	106554
136	8924	106568
137	8988	106489
138	9048	106370
139	9126	106452
140	9204	106539
141	9278	106569
142	9342	106488
143	9405	106394
144	9483	106480
145	9560	106540
146	9630	106529
147	9696	106460
148	9763	106420
149	9832	106391
150	9889	106227
151	9966	106286
152	10042	106336
153	10105	106237
154	10158	106037
155	10231	106057
156	10303	106054
157	10370	106001
158	10433	105913
159	10500	105857
160	10525	105388
161	10597	105384
162	10644	105139
163	10714	105123
164	10794	105199
165	10863	105162
166	10945	105263
167	11018	105264
168	11089	105251
169	11163	105264
170	11227	105185
171	11300	105189
172	11365	105114
173	11438	105119
174	11507	105075
175	11581	105088
176	11639	104952
177	11699	104833
178	11761	104738
179	11833	104723
180	11890	104587
181	11963	104579
182	12032	104540
183	12097	104468
184	12154	104335
185	12232	104371
186	12307	104386
187	12384	104411
188	12409	104006
189	12480	103982
190	12551	103960
191	12608	103821
192	12675	103765
193	12742	103715
194	12812	103685
195	12886	103686
196	12955	103642
197	13017	103551
198	13091	103548
199	13156	103478
200	13229	103467
201	13302	103457
202	13375	103449
203	13439	103365
204	13513	103358
205	13551	103080
206	13618	103023
207	13678	102914
208	13741	102828
209	13813	102808
210	13840	102456
211	13918	102488
212	13992	102482
213	14053	102382
214	14129	102392
215	14202	102372
216	14267	102303
217	14342	102307
218	14406	102224
219	14482	102233
220	14551	102191
221	14614	102107
222	14698	102163
223	14771	102145
224	14839	102099
225	14905	102031
226	14974	101982
227	15042	101933
228	15113	101902
229	15185	101876
230	15259	101858
231	15325	101796
232	15396	101764
233	15464	101711
234	15536	101681
235	15603	101624
236	15672	101573
237	15737	101503
238	15799	101407
239	15881	101444
240	15963	101478
241	16025	101386
242	16096	101349
243	16176	101366
244	16248	101338
245	16317	101287
246	16395	101293
247	16471	101285
248	16545	101268
249	16610	101193
250	16671	101094
251	16740	101039
252	16812	101009
253	16887	100989
254	16969	101017
255	17042	100989
256	17114	100952
257	17181	100890
258	17253	100858
259	17308	100723
260	17378	100674
261	17445	100609
262	17513	100552
263	17588	100533
264	17656	100476
265	17728	100441
266	17800	100400
267	17873	100371
268	17938	100293
269	18004	100224
270	18075	100182
271	18140	100107
272	18205	100027
273	18263	99918
274	18333	99869
275	18405	99829
276	18479	99801
277	18545	99730
278	18617	99693
279	18700	99711
280	18757	99595
281	18828	99548
282	18901	99519
283	18976	99494
284	19055	99487
285	19127	99448
286	19198	99401
287	19272	99374
288	19347	99350
289	19428	99351
290	19499	99305
291	19576	99291
292	19643	99222
293	19716	99185
294	19785	99130
295	19856	99082
296	19915	98972
297	19987	98930
298	20053	98861
299	20116	98772
300	20176	98672
301	20252	98647
302	20334	98650
303	20408	98617
304	20475	98553
305	20553	98537
306	20619	98462
307	20691	98419
308	20770	98409
309	20836	98336
310	20893	98219
311	20964	98168
312	21027	98081
313	21110	98091
314	21185	98056
315	21248	97971
316	21323	97939
317	21393	97886
318	21466	97845
319	21515	97695
320	21585	97639
321	21656	97587
322	21725	97528
323	21794	97470
324	21851	97357
325	21931	97347
326	22010	97332
327	22077	97260
328	22146	97201
329	22210	97121
330	22289	97101
331	22354	97027
332	22417	96938
333	22490	96898
334	22549	96795
335	22626	96766
336	22691	96693
337	22768	96665
338	22848	96653
339	22924	96620
340	23000	96590
341	23076	96556
342	23150	96515
343	23218	96449
344	23295	96421
345	23364	96362
346	23441	96332
347	23503	96243
348	23580	96212
349	23649	96153
350	23711	96063
351	23776	95983
352	23846	95927
353	23921	95886
354	23996	95849
355	24065	95787
356	24138	95741
357	24218	95722
358	24287	95663
359	24368	95645
360	24440	95594
361	24514	95552
362	24590	95517
363	24667	95484
364	24740	95438
365	24808	95371
366	24896	95381
367	24980	95373
368	25047	95302
369	25113	95228
370	25182	95165
371	25252	95105
372	25334	95090
373	25402	95022
374	25482	94997
375	25546	94917
376	25614	94848
377	25691	94813
378	25767	94775
379	25847	94753
380	25930	94737
381	26018	94742
382	26093	94698
383	26167	94653
384	26235	94585
385	26306	94527
386	26371	94448
387	26443	94391
388	26514	94333
389	26579	94253
390	26649	94194
391	26718	94127
392	26798	94102
393	26883	94092
394	26990	94158
395	27062	94104
396	27143	94079
397	27216	94026
398	27292	93983
399	27366	93934
400	27438	93878
401	27498	93782
402	27578	93752
403	27640	93664
404	27707	93589
405	27793	93581
406	27860	93505
407	27927	93435
408	27996	93368
409	28073	93325
410	28145	93270
411	28215	93208
412	28281	93129
413	28350	93064
414	28408	92959
415	28477	92893
416	28544	92822
417	28618	92770
418	28699	92741
419	28775	92699
420	28840	92617
421	28921	92588
422	28994	92535
423	29068	92483
424	29142	92434
425	29215	92379
426	29276	92284
427	29346	92220
428	29410	92138
429	29483	92083
430	29545	91995
431	29621	91951
432	29694	91896
433	29766	91836
434	29834	91765
435	29904	91701
436	29978	91651
437	30046	91580
438	30113	91506
439	30183	91443
440	30257	91390
441	30319	91301
442	30399	91266
443	30479	91232
444	30550	91171
445	30615	91090
446	30698	91064
447	30771	91010
448	30854	90982
449	30920	90905
450	30999	90868
451	31071	90808
452	31150	90768
453	31225	90720
454	31296	90655
455	31369	90598
456	31437	90527
457	31509	90469
458	31573	90387
459	31645	90327
460	31719	90273
461	31797	90230
462	31874	90185
463	31947	90129
464	32020	90070
465	32097	90025
466	32165	89952
467	32244	89912
468	32326	89881
469	32402	89829
470	32478	89782
471	32559	89745
472	32630	89680
473	32704	89626
474	32772	89555
475	32860	89538
476	32939	89494
477	33007	89424
478	33084	89376
479	33159	89324
480	33230	89258
481	33293	89175
482	33369	89122
483	33435	89045
484	33511	88996
485	33576	88916
486	33650	88859
487	33717	88785
488	33786	88715
489	33861	88662
490	33924	88577
491	33992	88504
492	34064	88442
493	34138	88386
494	34218	88345
495	34291	88286
496	34355	88204
497	34420	88124
498	34486	88047
499	34558	87986
500	34630	87924
501	34704	87868
502	34767	87781
503	34845	87735
504	34908	87651
505	34985	87602
506	35065	87560
507	35135	87493
508	35213	87446
509	35279	87369
510	35350	87303
511	35418	87231
512	35496	87183
513	35565	87115
514	35652	87090
515	35733	87048
516	35807	86990
517	35882	86936
518	35957	86879
519	36030	86819
520	36104	86761
521	36164	86670
522	36239	86613
523	36305	86538
524	36369	86454
525	36435	86377
526	36507	86315
527	36576	86246
528	36654	86197
529	36726	86134
530	36802	86079
531	36874	86016
532	36946	85953
533	37017	85888
534	37084	85814
535	37159	85758
536	37225	85680
537	37309	85646
538	37383	85586
539	37453	85518
540	37520	85444
541	37589	85374
542	37668	85326
543	37740	85262
544	37803	85180
545	37871	85106
546	37936	85026
547	38013	84974
548	38080	84901
549	38161	84857
550	38236	84801
551	38309	84738
552	38379	84670
553	38458	84623
554	38544	84589
555	38618	84530
556	38691	84467
557	38759	84394
558	38827	84323
559	38894	84249
560	38964	84179
561	39034	84111
562	39110	84056
563	39173	83972
564	39258	83936
565	39330	83871
566	39400	83804
567	39480	83757
568	39551	83689
569	39622	83625
570	39700	83572
571	39777	83518
572	39849	83453
573	39910	83366
574	39975	83289
575	40037	83202
576	40117	83155
577	40184	83080
578	40261	83026
579	40334	82963
580	40399	82884
581	40478	82834
582	40547	82764
583	40623	82708
584	40700	82653
585	40775	82594
586	40850	82537
587	40934	82496
588	41007	82433
589	41075	82359
590	41154	82308
591	41239	82269
592	41312	82207
593	41389	82152
594	41457	82079
595	41541	82037
596	41604	81955
597	41669	81876
598	41743	81815
599	41821	81760
600	41888	81686
601	41957	81615
602	42023	81538
603	42092	81467
604	42171	81415
605	42239	81342
606	42323	81300
607	42393	81231
608	42463	81162
609	42533	81091
610	42614	81043
611	42676	80959
612	42756	80909
613	42821	80831
614	42893	80764
615	42957	80684
616	43028	80617
617	43108	80566
618	43177	80496
619	43248	80427
620	43307	80338
621	43390	80292
622	43469	80240
623	43545	80182
624	43611	80105
625	43681	80035
626	43761	79985
627	43836	79924
628	43904	79851
629	43977	79787
630	44053	79729
631	44121	79656
632	44192	79589
633	44258	79511
634	44326	79438
635	44388	79355
636	44461	79291
637	44535	79227
638	44610	79168
639	44682	79101
640	44752	79032
641	44826	78969
642	44909	78922
643	44985	78863
644	45067	78815
645	45144	78757
646	45219	78696
647	45298	78642
648	45358	78555
649	45431	78490
650	45507	78432
651	45584	78374
652	45657	78309
653	45724	78235
654	45776	78134
655	45849	78069
656	45909	77983
657	45972	77900
658	46047	77840
659	46125	77785
660	46193	77711
661	46267	77647
662	46335	77575
663	46414	77520
664	46482	77447
665	46558	77387
666	46642	77341
667	46712	77271
668	46789	77213
669	46866	77154
670	46934	77081
671	47010	77021
672	47084	76957
673	47161	76899
674	47241	76846
675	47315	76782
676	47376	76698
677	47444	76625
678	47516	76558
679	47591	76496
680	47676	76450
681	47747	76381
682	47816	76310
683	47889	76244
684	47955	76169
685	48030	76107
686	48098	76033
687	48173	75971
688	48247	75908
689	48327	75852
690	48392	75775
691	48462	75704
692	48529	75630
693	48608	75574
694	48687	75517
695	48760	75453
696	48836	75391
697	48910	75328
698	48978	75254
699	49042	75175
700	49114	75107
