iter	Logloss
0	0.6646846312
1	0.642591067
2	0.6292283389
3	0.6194933185
4	0.6121791851
5	0.6075716037
6	0.6045851998
7	0.6022367782
8	0.5992957278
9	0.596953778
10	0.5951774363
11	0.5940324872
12	0.5925132461
13	0.5911510912
14	0.5898973881
15	0.5889516246
16	0.588215983
17	0.5875358241
18	0.5870719362
19	0.5863515563
20	0.5857790034
21	0.5851188243
22	0.584586573
23	0.5842699027
24	0.5837909377
25	0.5834428845
26	0.5830453101
27	0.5827030949
28	0.5823985906
29	0.5821482837
30	0.5819114544
31	0.5816877813
32	0.5813290709
33	0.5811061234
34	0.580956387
35	0.5807083153
36	0.5805047487
37	0.5803118882
38	0.580125613
39	0.5800020537
40	0.5798639203
41	0.5797452071
42	0.5796491621
43	0.5795240662
44	0.579386201
45	0.5792672028
46	0.5791340209
47	0.5790707059
48	0.5790179137
49	0.5789631172
50	0.5788409075
51	0.5787317985
52	0.5786069265
53	0.5785668307
54	0.5784736544
55	0.5782445978
56	0.5781735324
57	0.5780520962
58	0.5779710262
59	0.5778908674
60	0.5778246264
61	0.5777813245
62	0.5777188277
63	0.5776167859
64	0.5775649722
65	0.5775188213
66	0.5774593453
67	0.5773955047
68	0.5773202305
69	0.5771715152
70	0.5770875181
71	0.5770368052
72	0.5769779288
73	0.5769331385
74	0.5768919438
75	0.5768626505
76	0.5768391125
77	0.5767917405
78	0.5767725816
79	0.5767155
80	0.576634833
81	0.5765939082
82	0.5765519839
83	0.576491976
84	0.5764420387
85	0.5764156046
86	0.5763773443
87	0.5763288745
88	0.576297615
89	0.5762436189
90	0.5762087164
91	0.576167887
92	0.5761414338
93	0.576113323
94	0.5760980278
95	0.5760813862
96	0.5760628033
97	0.5760132326
98	0.5759882093
99	0.5759447822
100	0.5759239132
101	0.5758957632
102	0.5758704499
103	0.5758320213
104	0.5758122049
105	0.5757809712
106	0.5757542073
107	0.5756867683
108	0.5756536472
109	0.5756042315
110	0.5755772919
111	0.5755526385
112	0.5755206785
113	0.5755051156
114	0.5754846334
115	0.5754493307
116	0.5754266404
117	0.5754082634
118	0.575377168
119	0.5753633934
120	0.5753292259
121	0.5752976499
122	0.575267708
123	0.5752173064
124	0.5751807137
125	0.5751491614
126	0.5751227788
127	0.5750766173
128	0.5750550535
129	0.5750319707
130	0.5749975842
131	0.5749752961
132	0.5749515314
133	0.57489976
134	0.5748821473
135	0.5748303086
136	0.5747977953
137	0.5747553818
138	0.574742322
139	0.574693258
140	0.5746624548
141	0.5746410151
142	0.5746169421
143	0.5745826897
144	0.5745522842
145	0.5744525374
146	0.5744339309
147	0.5744078262
148	0.5743803843
149	0.5743400716
150	0.5743028752
151	0.5742863195
152	0.5742657907
153	0.5742292216
154	0.574192435
155	0.5741695723
156	0.5741428879
157	0.5741184735
158	0.5740808405
159	0.5740616449
160	0.574042137
161	0.5740232258
162	0.5740011777
163	0.5739935557
164	0.573971222
165	0.5739341772
166	0.5739291277
167	0.5739137242
168	0.5738892888
169	0.5738740315
170	0.57384979
171	0.5738249402
172	0.5738087794
173	0.573777556
174	0.5737625242
175	0.5737507938
176	0.5737255569
177	0.5736467782
178	0.5736135297
179	0.5735898786
180	0.5735627517
181	0.5735407315
182	0.5735250439
183	0.5734997847
184	0.5734839063
185	0.5734666986
186	0.5734489798
187	0.5734242478
188	0.5733946101
189	0.5733792466
190	0.5733585401
191	0.5733323463
192	0.5733169031
193	0.5733003673
194	0.57327165
195	0.5732125731
196	0.5731835875
197	0.5731589919
198	0.5731387346
199	0.5731344018
200	0.5731213068
201	0.5731144936
202	0.5730941883
203	0.5730728798
204	0.5730570814
205	0.5730468602
206	0.5730378064
207	0.5730127613
208	0.5729933677
209	0.5729757582
210	0.5729532387
211	0.5729424496
212	0.5729191347
213	0.5729083216
214	0.5728860621
215	0.5728678364
216	0.5728560571
217	0.5728312565
218	0.5728156585
219	0.5728092753
220	0.5728023046
221	0.5727922051
222	0.5727688325
223	0.5727549761
224	0.5727490891
225	0.5727277536
226	0.5727191858
227	0.5727058988
228	0.5726763365
229	0.5726651575
230	0.5726514545
231	0.5726461235
232	0.5726243485
233	0.5726071368
234	0.572596056
235	0.5725922503
236	0.5725889103
237	0.5725812557
238	0.5725692626
239	0.5725660051
240	0.5725587483
241	0.5725414097
242	0.5725312227
243	0.5725159416
244	0.5724950583
245	0.5724882424
246	0.5724723348
247	0.5724675389
248	0.5724467238
249	0.572411661
250	0.572401931
251	0.5723886103
252	0.5723672053
253	0.5723477582
254	0.572319345
255	0.5723067122
256	0.5722933848
257	0.5722765361
258	0.572251181
259	0.5722307191
260	0.5722091224
261	0.5721984392
262	0.5721809103
263	0.5721711247
264	0.5721689291
265	0.5721454531
266	0.5721165035
267	0.5721093302
268	0.5720937255
269	0.5720774315
270	0.5720565537
271	0.572051146
272	0.5720184591
273	0.5719989831
274	0.5719910924
275	0.5719690961
276	0.5719561312
277	0.5719501814
278	0.5719300493
279	0.5719146208
280	0.5719086418
281	0.5718993323
282	0.5718940355
283	0.5718883142
284	0.5718837687
285	0.5718723577
286	0.5718525364
287	0.5718489743
288	0.5718331256
289	0.5717869753
290	0.5717658257
291	0.5717591576
292	0.571754083
293	0.5717437019
294	0.5717270007
295	0.5717090728
296	0.5716996551
297	0.5716890843
298	0.5716728006
299	0.5716658212
300	0.5716545613
301	0.5716381252
302	0.5716175137
303	0.5716038088
304	0.5715805267
305	0.5715625002
306	0.5715553295
307	0.5715470157
308	0.5715343081
309	0.5715236465
310	0.5715097388
311	0.5714895119
312	0.571478419
313	0.5714627099
314	0.5714293649
315	0.5714270462
316	0.5714239998
317	0.5714017294
318	0.571393221
319	0.5713733788
320	0.5713572526
321	0.5713463393
322	0.5713278677
323	0.5713128299
324	0.5713060679
325	0.5712904136
326	0.5712724588
327	0.571260468
328	0.5712484005
329	0.5712378997
330	0.5712276952
331	0.5712132846
332	0.5712060728
333	0.5711984873
334	0.5711940637
335	0.5711764023
336	0.5711654305
337	0.5711518015
338	0.5711445624
339	0.5711424064
340	0.571128367
