iter	Passed	Remaining
0	50	123110
1	105	128064
2	151	122707
3	195	119159
4	243	118448
5	286	115932
6	321	111732
7	366	111178
8	413	111446
9	457	111029
10	495	109137
11	535	108147
12	575	107288
13	614	106231
14	661	106730
15	700	105993
16	740	105320
17	777	104434
18	817	104013
19	863	104297
20	907	104415
21	952	104510
22	997	104617
23	1049	105460
24	1090	105136
25	1130	104759
26	1181	105446
27	1225	105395
28	1267	105222
29	1310	105071
30	1354	105099
31	1393	104664
32	1434	104461
33	1481	104654
34	1525	104672
35	1573	104888
36	1618	104960
37	1661	104835
38	1703	104717
39	1751	104937
40	1799	105105
41	1847	105303
42	1897	105574
43	1941	105556
44	1991	105818
45	2035	105755
46	2080	105755
47	2125	105754
48	2170	105714
49	2221	105995
50	2273	106296
51	2322	106499
52	2362	106215
53	2418	106680
54	2469	106926
55	2520	107117
56	2563	106987
57	2604	106800
58	2642	106471
59	2688	106452
60	2727	106208
61	2774	106253
62	2824	106371
63	2867	106268
64	2916	106371
65	2966	106521
66	3011	106486
67	3057	106459
68	3111	106730
69	3168	107086
70	3214	107089
71	3262	107114
72	3298	106758
73	3342	106698
74	3382	106485
75	3426	106389
76	3478	106577
77	3514	106241
78	3560	106237
79	3602	106094
80	3647	106050
81	3696	106110
82	3748	106273
83	3789	106104
84	3839	106208
85	3892	106372
86	3930	106111
87	3970	105947
88	4018	105981
89	4070	106093
90	4123	106252
91	4170	106257
92	4222	106378
93	4269	106375
94	4307	106149
95	4357	106212
96	4395	105997
97	4444	106023
98	4491	106031
99	4540	106065
100	4593	106190
101	4635	106074
102	4675	105900
103	4720	105840
104	4767	105836
105	4812	105793
106	4857	105726
107	4898	105581
108	4949	105659
109	4996	105649
110	5030	105372
111	5075	105313
112	5116	105182
113	5160	105104
114	5211	105173
115	5255	105105
116	5298	105016
117	5347	105042
118	5404	105222
119	5443	105061
120	5484	104922
121	5534	104982
122	5589	105118
123	5628	104937
124	5680	105019
125	5731	105079
126	5784	105162
127	5832	105162
128	5878	105132
