iter	Logloss
0	0.6906425535
1	0.6880811532
2	0.6855588552
3	0.683119581
4	0.6807542852
5	0.678437116
6	0.6764124784
7	0.6744629587
8	0.6723462172
9	0.6703058673
10	0.66828993
11	0.666387296
12	0.6646420033
13	0.6626660104
14	0.6608402994
15	0.659003226
16	0.6572457694
17	0.6555122988
18	0.6538383541
19	0.6523170291
20	0.6507880443
21	0.6492540462
22	0.6478167892
23	0.64632633
24	0.644994173
25	0.6436580143
26	0.642376058
27	0.6411268154
28	0.6398936624
29	0.6386798505
30	0.6374197392
31	0.6362849134
32	0.635169548
33	0.6340039645
34	0.6328967734
35	0.6319064057
36	0.6308729901
37	0.6298071064
38	0.6287980907
39	0.6279098655
40	0.6269967224
41	0.6261004795
42	0.6252291525
43	0.6243303875
44	0.6234508767
45	0.6226053811
46	0.6217456225
47	0.621016896
48	0.6202784756
49	0.6195223273
50	0.6188331973
51	0.6181693811
52	0.6174486982
53	0.61679098
54	0.6161389785
55	0.615459349
56	0.6148015435
57	0.6141857019
58	0.6135801495
59	0.6130501763
60	0.6124149933
61	0.6119044715
62	0.6113550068
63	0.6107737395
64	0.6102001927
65	0.6097001655
66	0.609185466
67	0.6086534848
68	0.6081788709
69	0.607693685
70	0.6072818979
71	0.6068348788
72	0.6063641358
73	0.6059071311
74	0.6055247322
75	0.6051193619
76	0.6047111368
77	0.6042879048
78	0.6038873654
79	0.6035123593
80	0.6031410934
81	0.6027566422
82	0.6024091866
83	0.602079787
84	0.6016894185
85	0.6013369409
86	0.6009657633
87	0.6006442413
88	0.6003112436
89	0.599999555
90	0.5996767374
91	0.5993562593
92	0.5990374637
93	0.5987529445
94	0.5984863364
95	0.5981740152
96	0.597888265
97	0.5975823506
98	0.5973114597
99	0.5970290906
100	0.5967378808
101	0.5964451934
102	0.5961644177
103	0.595891971
104	0.5956244964
105	0.5953722931
106	0.5951329996
107	0.5948688635
108	0.5946706846
109	0.5944511272
110	0.5942210036
111	0.5940197163
112	0.5937894976
113	0.5935790787
114	0.5933827403
115	0.59316166
116	0.5929670648
117	0.5927509539
118	0.5925645565
119	0.5923740414
120	0.5921774599
121	0.5920059183
122	0.5918338531
123	0.5916697642
124	0.5914672259
125	0.5912844884
126	0.5910895327
127	0.590910783
128	0.5907283501
129	0.5905464257
130	0.5903850249
131	0.5902090526
132	0.5900567818
133	0.5899016614
134	0.5897322609
135	0.58957473
136	0.589443717
137	0.5892919172
138	0.5891604742
139	0.5889968314
140	0.588846771
141	0.5887106095
142	0.5885721594
143	0.5884361044
144	0.5883210088
145	0.5881918752
146	0.5880602571
147	0.587918098
148	0.5877877726
149	0.5876495221
150	0.5875271685
151	0.5873888126
152	0.5872488827
153	0.5871287862
154	0.5870183719
155	0.5868912613
156	0.5867750503
157	0.5866476662
158	0.5865625548
159	0.5864261799
160	0.5863231877
161	0.5862374259
162	0.5861465566
163	0.5860646525
164	0.5859442413
165	0.5858673366
166	0.5857717052
167	0.5856913778
168	0.5856003979
169	0.5854977343
170	0.5854068027
171	0.5853163822
172	0.5852228551
173	0.5851171358
174	0.585032224
175	0.5849526257
176	0.5848645478
177	0.5847872219
178	0.5847148743
179	0.5846344099
180	0.5845606494
181	0.5844829915
182	0.5843984919
183	0.5843155597
184	0.5842685719
185	0.584187767
186	0.5841278757
187	0.5840328442
188	0.5839771328
189	0.5838979994
190	0.5838247728
191	0.5837678008
192	0.5836842972
193	0.5836220944
194	0.5835554202
195	0.5834789126
196	0.583405793
197	0.5833400887
198	0.5832924363
199	0.5832109329
200	0.5831739643
201	0.5830956307
202	0.5830294451
