iter	Passed	Remaining
0	205	540902
1	294	387563
2	391	343732
3	507	333930
4	662	348777
5	894	392395
6	1142	42931777	1334	43880788	1589	464205
9	1768	464712
10	2026	483887
11	2136	467594
12	2294	463380
13	2379	446053
14	2550	446054
15	2651	434560
16	2921	450406
17	3035	441805
18	3167	436594
19	3302	432251
20	3452	430261
21	3592	427125222	3740	425332
23	3895	424239
24	4031	421360
25	4158	417723
26	4241	410151
27	4465	416263
28	4587	412684
29	4723	410640
30	4840	407099
31	4998	407051
32	5155	406976
33	5287	404967
34	5421	403200
35	5574	402929
36	5729	402766
37	5886	402743
38	6034	402121
39	6205	403058
40	6379	404065
41	6492	401307
42	6761	408073
43	6926	408354
44	7109	409678
45	7253	408723
46	7359	405694
47	7491	404229
48	7710	407387
49	7912	409553
50	8011	406392
51	8156	405649
52	8385	408969
53	8495	406538
54	8618	404771
55	8784	405021
56	8923	404044
57	9099	404785
58	9231	403521
59	9351	401803
60	9465	399863
61	9666	401638
62	9808	400918
63	9938	399732
64	10008	396193
65	10162	396012
66	10257	393629
67	10372	392032
68	10533	392163
69	10664	391220
70	10817	391102
71	10955	390459
72	11115	390563
73	11241	389495
74	11353	388001
75	11525	388531
76	11641	387200
77	11731	385038
78	11850	383867
79	12014	384171
80	12138	383176
81	12316	383900
82	12495	384643
83	12600	383119
84	12712	381823
85	12870	381929
86	12960	380018
87	13131	380520
88	13340	382083
89	13524	382885
90	13669	382605
91	13850	383304
92	14007	383336
93	14171	383531
94	14292	382594
95	14406	381473
96	14527	380556
97	14748	382254
98	14893	381968
99	15048	381924
100	15202	381871
101	15331	381184
102	15487	381164
103	15578	379577
104	15732	379517
105	15849	378588
106	15948	377254
107	16098	377130
108	16243	376884
109	16388	376639
110	16513	375941
111	16628	375027
112	16845	376420
113	16957	375437
114	17183	376980
115	17283	375760
116	17407	375073
117	17543	374663
118	17638	373364
119	17782	373139
120	17940	373181
121	18013	371490
122	18143	370987
123	18206	369132
124	18376	369433
125	18558	369984
126	18654	368831
127	18848	369599
128	19002	369587
129	19113	368742
130	19350	370319
131	19519	370576
132	19625	369638
133	19760	369253
134	19864	368307
135	20060	369047
136	20221	369144
137	20375	369115
138	20549	369455
139	20641	368309
140	20775	367911
141	20929	367887
142	21058	367415
143	21238	367844
144	21352	367108
145	21506	367086
146	21651	366900
147	21744	365835
148	21911	366033
149	22032	365443
150	22120	364323
151	22303	364777
152	22429	364295
153	22585	364293
154	22758	364580
155	22902	364388
156	23013	363672
157	23192	364029
158	23298	363249
159	23443	363073
160	23592	362973
161	23677	361889
162	23820	361688
163	23951	361324
164	24095	361147
165	24366	362862
166	24460	361929
167	24598	361655
168	24764	361795
169	24912	361673
170	25067	361647
171	25147	360543
172	25228	359471
173	25374	359319
174	25527	359283
175	25642	358704
176	25758	358148
177	25914	358137
178	26124	358885
179	26262	358633
180	26400	358370
181	26486	357423
182	26627	357220
183	26769	357024
184	26935	357153
185	27110	357397
186	27218	356751
187	27355	356499
188	27572	357280
189	27697	356864
190	27795	356106
191	27952	356099
192	28108	356092
193	28275	356206
194	28434	356231
195	28632	356737
196	28744	356167
197	28879	355884
198	29036	355885
199	29217	356165
200	29333	355647
201	29520	356005
202	29683	356051
203	29780	355326
204	29940	355346
205	30039	354645
206	30168	354297
207	30340	354461
208	30457	353975
209	30645	354316
210	30905	355490
211	31070	355553
212	31279	356120
213	31421	355910
214	31567	355752
215	31677	355202
216	31806	354849
217	32005	355292
218	32062	354156
219	32212	354043
220	32367	353990
221	32524	353963
222	32656	353660
223	32812	353617
224	32983	353728
225	33193	354260
226	33367	354399
227	33471	353804
228	33609	353558
229	33684	352663
230	33919	353433
231	34145	354109
232	34288	353925
233	34387	353282
234	34534	353138
235	34748	353666
236	34876	353322
237	35000	352944
238	35161	352937
239	35315	352860
240	35471	352797
241	35603	352501
242	35710	351962
243	35853	351779
244	35985	351484
245	36164	351650
246	36255	350956
247	36407	350866
248	36480	350007
249	36564	349260
250	36661	348649
251	36730	347774
252	36911	347956
253	37007	347346
254	37182	347476
255	37335	347397
256	37454	346998
257	37606	346909
258	37736	346625
259	37853	346214
260	38029	346340
261	38155	346016
262	38326	346102
263	38505	346256
264	38777	347238
265	38933	347180
266	39047	346744
267	39205	346705
268	39348	346529
269	39458	346069
270	39575	345663
271	39708	345402
272	39885	345526
273	40045	345502
274	40204	345465
275	40311	344988
276	40471	344957
277	40577	344467
278	40685	344006
279	40983	345140
280	41130	344995
281	41264	344752
282	41393	344454
283	41526	344198
284	41677	344094
285	41792	343688
286	41971	343814
287	42121	343703
288	42290	343736
289	42418	343447
290	42593	343529
291	42749	343458
292	42861	343038
293	43027	343050
294	43165	342838
295	43310	342680
296	43414	342201
297	43588	342274
298	43706	341908
299	43878	341958
300	43994	341576
301	44089	341036
302	44244	340960
303	44463	341370
304	44563	340871
305	44650	340279
306	44775	339972
307	44899	339661
308	45049	339549
309	45185	339328
310	45319	339098
311	45497	339187
312	45640	339019
313	45870	339503
314	46163	340439
315	46291	340152
316	46372	339527
317	46529	339461
318	46711	339576
319	46857	339427
320	47000	339254
321	47082	338642
322	47306	339053
323	47449	338882
324	47534	338296
325	47690	338220
326	47824	337988
327	47933	337583
328	48066	337342
329	48165	336863
330	48322	336794
331	48415	336282
332	48538	335977
333	48645	335563
334	48758	335195
335	48858	334741
336	48983	334454
337	49069	333907
338	49221	333805
339	49320	333347
340	49457	333150
341	49606	333032
342	49718	332666
343	49860	332500
344	50010	332386
345	50127	332058
346	50260	331831
347	50367	331444
348	50517	331331
349	50617	330891
350	50880	331519
351	51007	331259
352	51110	330841
353	51206	330380
354	51300	329911
355	51416	329582
356	51584	329589
357	51713	329346
358	51916	329577
359	52024	329199
360	52196	329230
361	52317	328934
362	52414	328496
363	52595	328576
364	52757	328541
365	52878	328253
366	53020	328094
367	53205	328197
368	53318	327861
369	53492	327897
370	53636	327747
371	53878	328194
372	53976	327766
373	54108	327543
374	54180	326961
375	54324	326812
376	54485	326770
377	54713	327123
378	54846	326905
379	54960	326580
380	55064	326197
381	55208	326045
382	55357	325928
383	55649	326648
384	55739	326186
385	55851	325850
386	56027	325886
387	56174	325756
388	56318	325602
389	56477	325539
390	56597	325254
391	56725	325014
392	56806	324506
393	56961	324419
394	57071	324077
395	57323	324542
396	57436	324220
397	57525	323760
398	57647	323492
399	57766	323202
400	57888	322932
401	57988	322544
402	58121	322337
403	58264	322183
404	58421	322112
405	58500	321610
406	58667	321587
407	58811	321443
408	58931	321167
409	59045	320860
410	59189	320717
411	59359	320714
412	59469	320386
413	59609	320220
414	59731	319959
415	59868	319776
416	60017	319661
417	60125	319327
418	60277	319226
419	60390	318919
420	60553	318874
421	60659	318534
422	60782	318279
423	60901	318008
424	61023	317753
425	61121	317373
426	61287	317346
427	61582	317986
428	61738	317902
429	61902	317862
430	62002	317494
431	62103	317130
432	62236	316930
433	62344	316605
434	62482	316434
435	62635	316338
436	62783	316214
437	62897	315924
438	63036	315759
439	63161	315520
440	63233	315022
441	63317	314581
442	63443	314354
443	63594	314250
444	63699	313919
445	63849	313806
446	63994	313674
447	64158	313631
448	64288	313422
449	64405	313152
450	64588	313202
451	64708	312948
452	64826	312682
453	64961	312503
454	65111	312394
455	65284	312391
456	65455	312379
457	65674	312599
458	65775	312255
459	65858	311825
460	66025	311795
461	66125	311449
462	66274	311332
463	66416	311185
464	66542	310960
465	66653	310667
466	66723	310184
467	66909	310244
468	67058	310129
469	67258	310246
470	67359	309913
471	67457	309562
472	67671	309743
473	67761	309358
474	67887	309136
475	68044	309058
476	68257	309232
477	68337	308806
478	68425	308413
479	68566	308265
480	68676	307975
481	68798	307739
482	68924	307518
483	69064	307365
484	69229	307321
485	69315	306926
486	69399	306525
487	69560	306466
488	69686	306247
489	69812	306036
490	70041	306272
491	70126	305875
492	70230	305565
493	70307	305141
494	70492	305181
495	70587	304834
496	70684	304495
497	70864	304518
498	70993	304317
499	71110	304070
500	71307	304159
501	71507	304261
502	71650	304121
503	71801	304018
504	71940	303860
505	72010	303410
506	72191	303433
507	72281	303071
508	72394	302805
509	72516	302580
510	72701	302614
511	72879	302619
512	73020	302474
513	73095	302050
514	73221	301843
515	73347	301632
516	73511	301580
517	73621	301307
518	73730	301028
519	73864	300855
520	73956	300510
521	74126	300483
522	74208	300095
523	74371	300042
524	74550	300048
525	74630	299655
526	74828	299738
527	74947	299504
528	75072	299295
529	75168	298972
530	75306	298816
531	75449	298676
532	75586	298517
533	75672	298156
534	75818	298029
535	75951	297855
536	76025	297447
537	76171	297324
538	76321	297213
539	76439	296981
540	76549	296717
541	76660	296459
542	76760	296156
543	76944	296177
544	77041	295868
545	77198	295784
546	77331	295613
547	77484	295513
548	77666	295527
549	77761	295209
550	77823	294768
551	78012	294808
552	78117	294528
553	78214	294221
554	78437	294388
555	78552	294149
556	78706	294053
557	78823	293822
558	78979	293737
559	79071	293412
560	79153	293052
561	79386	293249
562	79543	293167
563	79664	292948
564	79808	292819
565	79924	292587
566	80023	292291
567	80122	291994
568	80217	291688
569	80373	291600
570	80538	291548
571	80662	291345
572	80799	291188
573	80939	291042
574	81138	291110
575	81245	290846
576	81428	290855
577	81527	290564
578	81661	290398
579	81743	290049
580	81828	289709
581	81993	289652
582	82158	289596
583	82330	289565
584	82447	289340
585	82578	289165
586	82681	288891
587	82831	288784
588	82997	288730
589	83154	288646
590	83269	288413
591	83443	288386
592	83544	288109
593	83656	287870
594	83784	287682
595	83986	287753
596	84119	287583
597	84252	287417
598	84526	287729
599	84712	287741
600	84790	287384
601	84952	287313
602	85064	287074
603	85237	287042
604	85315	286688
605	85468	286585
606	85566	286300
607	85704	286152
608	85836	285980
609	85976	285836
610	86138	285766
611	86256	285548
612	86404	285430
613	86529	285238
614	86643	285006
615	86798	284913
616	86977	284898
617	87107	284721
618	87302	284754
619	87398	284467
620	87521	284269
621	87642	284062
622	87781	283916
623	87894	283684
624	87997	283422
625	88106	283180
626	88261	283085
627	88344	282758
628	88467	282562
629	88625	282477
630	88807	282465
631	88883	282119
632	88993	281882
633	89136	281749
634	89256	281543
635	89426	281496
636	89527	281230
637	89601	280883
638	89711	280647
639	89896	280644
640	89971	280301
641	90139	280247
642	90233	279963
643	90365	279796
644	90493	279617
645	90607	279396
646	90794	279399
647	90865	279047
648	91031	278987
649	91167	278831
650	91367	278874
651	91516	278759
652	91590	278419
653	91732	278282
654	91855	278090
655	91984	277916
656	92117	277753
657	92266	277640
658	92374	277405
659	92464	277114
660	92551	276813
661	92665	276597
662	92836	276548
663	93002	276485
664	93079	276160
665	93246	276100
666	93382	275947
667	93529	275826
668	93684	275733
669	93828	275604
670	93977	275490
671	94166	275492
672	94372	275544
673	94527	275449
674	94671	275319
675	94799	275142
676	94937	274995
677	95038	274741
678	95208	274689
679	95365	274597
680	95568	274635
681	95681	274417
682	95849	274356
683	95969	274158
684	96089	273960
685	96290	273993
686	96452	273915
687	96562	273687
688	96655	273413
689	96853	273436
690	96954	273184
691	97106	273077
692	97239	272915
693	97345	272680
694	97492	272557
695	97648	272462
696	97848	272486
697	98047	272509
698	98211	272433
699	98392	272405
700	98452	272043
701	98649	272059
702	98766	271854
703	98926	271766
704	99097	271710
705	99248	271597
706	99362	271385
707	99488	271203
708	99623	271050
709	99771	270927
710	99887	270722
711	100045	270627
712	100140	270365
713	100301	270280
714	100430	270109
715	100587	270011
716	100713	269833
717	100841	269659
718	100968	269484
719	101137	269418
720	101338	269440
721	101396	269079
722	101537	268940
723	101676	268797
724	101810	268639
725	101988	268597
726	102078	268325
727	102231	268218
728	102458	268304
729	102584	268123
730	102663	267822
731	102746	267533
732	102900	267429
733	102983	267138
734	103114	266975
735	103184	266653
736	103349	266577
737	103505	266476
738	103591	266198
739	103788	266204
740	103885	265953
741	104009	265772
742	104107	265523
743	104207	265281
744	104323	265078
745	104485	264996
746	104617	264836
747	104711	264577
748	104824	264369
749	104941	264173
750	105074	264015
751	105214	263874
752	105293	263583
753	105431	263439
754	105624	263430
755	105691	263111
756	105783	262852
757	105956	262793
758	106122	262718
759	106254	262561
760	106389	262407
761	106595	262432
762	106746	262318
763	106873	262146
764	106994	261962
765	107104	261749
766	107248	261619
767	107398	261504
768	107533	261352
769	107679	261228
770	107807	261059
771	107952	260932
772	108082	260767
773	108260	260720
774	108367	260501
775	108510	260369
776	108664	260264
777	108770	260042
778	108924	259937
779	109036	259730
780	109099	259407
781	109201	259179
782	109352	259066
783	109536	259031
784	109621	258762
785	109687	258448
786	109846	258355
787	109930	258085
788	110093	258000
789	110255	257914
790	110427	257850
791	110518	257596
792	110642	257421
793	110820	257371
794	110909	257115
795	111125	257153
796	111194	256850
797	111313	256662
798	111462	256544
799	111578	256352
800	111762	256313
801	111868	256097
802	112049	256053
803	112190	255917
804	112302	255713
805	112501	255711
806	112618	255520
807	112796	255466
808	113056	255600
809	113190	255446
810	113412	255492
811	113571	255396
812	113712	255258
813	113859	255134
814	114171	255379
815	114366	255363
816	114521	255254
817	114621	255025
818	114763	254890
819	114902	254747
820	115045	254613
821	115118	254325
822	115289	254252
823	115399	254046
824	115598	254037
825	115696	253803
826	115834	253658
827	116045	253674
828	116176	253514
829	116298	253333
830	116377	253060
831	116533	252956
832	116667	252802
833	116802	252651
834	116938	252503
835	117072	252351
836	117198	252178
837	117312	251983
838	117508	251964
839	117640	251807
840	117853	251822
841	118011	251719
842	118154	251586
843	118253	251359
844	118347	251121
845	118452	250905
846	118623	250832
847	118783	250733
848	118924	250596
849	119031	250385
850	119188	250282
851	119323	250131
852	119455	249974
853	119576	249794
854	119849	249931
855	119979	249770
856	120169	249733
857	120429	249841
858	120544	249649
859	120634	249404
860	120829	249377
861	120971	249240
862	121123	249124
863	121196	248846
864	121322	248676
865	121382	248372
866	121567	248322
867	121707	248182
868	121885	248119
869	122003	247932
870	122107	247719
871	122221	247525
872	122366	247396
873	122507	247257
874	122655	247132
875	122833	247068
876	122963	246909
877	123063	246687
878	123188	246516
879	123293	246306
880	123530	246360
881	123654	246187
882	123789	246036
883	123930	245897
884	124067	245752
885	124186	245569
886	124260	245299
887	124428	245212
888	124574	245084
889	124703	244924
890	124847	244791
891	124968	244614
892	125115	244487
893	125226	244289
894	125401	244217
895	125549	244093
896	125715	244003
897	125804	243763
898	125888	243515
899	126078	243472
900	126234	243362
901	126308	243094
902	126498	243051
903	126588	242814
904	126732	242682
905	126882	242562
906	127002	242382
907	127124	242208
908	127241	242025
909	127378	241878
910	127518	241739
911	127684	241648
