iter	Passed	Remaining
0	100	277675
1	219	303447
2	355	326989
3	484	334285
4	616	340608
5	713	328005
6	832	328301
7	942	324981
8	1045	320144
9	1176	324110
10	1300	325691
11	1412	324187
12	1508	319433
13	1623	319115
14	1733	318010
15	1847	317454
16	1968	318278
17	2075	316801
18	2183	315668
19	2298	315645
20	2423	316788
21	2536	316338
22	2675	319088
23	2774	317035
24	2871	314839
25	2966	312628
26	3112	315727
27	3215	314469
28	3327	314093
29	3431	312960
30	3525	311058
31	3643	311325
32	3760	311418
33	3874	311324
34	3979	310522
35	4131	313323
36	4240	312752
37	4362	313171
38	4489	313889
39	4599	313435
40	4729	314347
41	4848	314457
42	4961	314170
43	5076	314047
44	5170	312625
45	5283	312407
46	5392	311959
47	5530	313161
48	5656	313624
49	5775	313714
50	5902	314236
51	6022	314332
52	6142	314434
53	6276	315218
54	6380	314479
55	6512	315167
56	6613	314325
57	6728	314129
58	6854	314489
59	6969	314338
60	7102	314969
61	7206	314293
62	7339	314879
63	7446	314366
64	7565	314373
65	7683	314325
66	7801	314288
67	7922	314344
68	8036	314115
69	8168	314595
70	8276	314155
71	8367	313094
72	8491	313260
73	8615	313431
74	8727	313149
75	8827	312435
76	8961	312967
77	9097	313504
78	9190	312604
79	9302	312347
80	9427	312505
81	9559	312887
82	9669	312572
83	9787	312486
84	9908	312529
85	10025	312428
86	10147	312472
87	10264	312367
88	10381	312271
89	10489	311897
90	10644	312889
91	10692	310768
92	10788	310072
93	10919	310381
94	11036	310304
95	11153	310207
96	11282	310450
97	11391	310115
98	11531	310661
99	11641	310371
100	11783	310908
101	11920	311335
102	12037	311218
103	12178	311710
104	12308	311934
105	12428	311891
106	12552	311944
107	12674	311932
108	12796	311940
109	12928	312165
110	13065	312515
111	13193	312637
112	13327	312908
113	13440	312672
114	13562	312635
115	13596	310604
116	13642	308890
117	13776	309144
118	13886	308888
119	14024	309250
120	14155	309435
121	14264	309144
122	14377	308947
123	14491	308771
124	14600	308471
125	14702	308053
126	14826	308087
127	14926	307621
128	15045	307559
129	15166	307537
130	15216	306068
131	15345	306222
132	15443	305742
133	15561	305652
134	15658	305165
135	15779	305144
136	15853	304230
137	15975	304225
138	16094	304179
139	16220	304242
140	16330	304032
141	16451	303999
142	16540	303400
143	16659	303349
144	16769	303125
145	16892	303135
146	16928	301602
147	17022	301112
148	17141	301063
149	17252	300886
150	17369	300794
151	17466	300381
152	17593	300473
153	17733	300777
154	17872	301061
155	18020	301491
156	18136	301392
157	18249	301229
158	18366	301134
159	18479	300991
160	18601	300966
161	18703	300635
162	18794	300136
163	18926	300288
164	19039	300136
165	19169	300245
166	19284	300126
167	19397	299974
168	19535	300206
169	19647	300031
170	19760	299876
171	19858	299491
172	19981	299492
173	20099	299418
174	20224	299436
175	20345	299396
176	20477	299519
177	20593	299419
178	20715	299391
179	20837	299366
180	20956	299292
181	21042	298755
182	21191	299108
183	21326	299260
184	21451	299278
185	21559	299057
186	21680	299003
187	21818	299196
188	21941	299176
189	22101	299652
190	22222	299595
191	22262	298454
192	22394	298555
193	22527	298657
194	22677	298999
195	22826	299313
196	22949	299274
197	23064	299134
198	23190	299148
199	23303	298982
