iter	Logloss
0	0.6540987165
1	0.631245447
2	0.6164475167
3	0.6073335932
4	0.6010697501
5	0.5964323139
6	0.5933763594
7	0.5911304444
8	0.589172345
9	0.5876124192
10	0.5861772818
11	0.5849026299
12	0.5838673497
13	0.5830360473
14	0.582307716
15	0.5817230887
16	0.5811944862
17	0.5807079485
18	0.5802779833
19	0.5798744722
20	0.5794458768
21	0.5792287425
22	0.5790296723
23	0.5787816599
24	0.5784051176
25	0.5782153428
26	0.5779638524
27	0.577812904
28	0.5776194603
29	0.5773688825
30	0.5772660365
31	0.5771416678
32	0.5770297469
33	0.5768891686
34	0.5768231953
35	0.5767199497
36	0.5766146345
37	0.5765851585
38	0.5764710078
39	0.5763341249
40	0.5762663918
41	0.5761690813
42	0.5760891433
43	0.5760082787
44	0.5759091469
45	0.5757984373
46	0.5756869536
47	0.5756121083
48	0.5755280279
49	0.5754020945
50	0.5753257271
51	0.575263068
52	0.5751947446
53	0.5750981913
54	0.5749987089
55	0.5749549854
56	0.5748975815
57	0.5748413241
58	0.5747824756
59	0.5747278373
60	0.5747141866
61	0.5746562411
62	0.5746119657
63	0.5745818555
64	0.5745561753
65	0.574494553
66	0.5743941154
67	0.5743798842
68	0.5743254059
69	0.5742453542
70	0.5741921049
71	0.5741568715
72	0.5740965128
73	0.5740130294
74	0.5739691592
75	0.5738097625
76	0.5737661052
77	0.5737579201
78	0.5737045769
79	0.5736883318
80	0.5736099597
81	0.5735319443
82	0.5734883744
83	0.5734236328
84	0.5733873264
85	0.5733489634
86	0.5732981964
87	0.5732417297
88	0.5732128187
89	0.5731879996
90	0.5731737413
91	0.5731331729
92	0.5731272806
93	0.5730817526
94	0.5730666435
95	0.5730367745
96	0.5730079907
97	0.572967145
98	0.5729207834
99	0.5728636197
100	0.5728295745
101	0.5727645082
102	0.5727346778
103	0.5726925469
104	0.572664489
105	0.5725957827
106	0.5725217233
107	0.5724754232
108	0.572436239
109	0.5723881872
110	0.5723489407
111	0.5722717143
112	0.5722022851
113	0.5721496237
114	0.5720874202
115	0.5720335828
116	0.5719523303
117	0.5718976534
118	0.5717832923
119	0.5717160251
120	0.5716537399
121	0.5715405518
122	0.5714725888
123	0.5714151821
124	0.5713718033
125	0.5713056816
126	0.5712998039
127	0.5712443238
128	0.5712209925
129	0.5711563085
130	0.5711278184
131	0.5710376106
132	0.570976794
133	0.5709204016
134	0.5708582348
135	0.5708067839
136	0.5707614389
137	0.5707141045
138	0.5706583616
139	0.570626529
140	0.5706175313
141	0.5705544478
142	0.5705217638
143	0.5705082923
144	0.5704637168
145	0.5704304479
146	0.5704056355
147	0.5703710018
148	0.5703155218
149	0.5702917272
150	0.5702384892
151	0.5701896269
152	0.5701349632
153	0.5701015949
154	0.5700493138
155	0.5700274876
156	0.5699819344
157	0.5699287905
158	0.5699027063
159	0.5698611163
160	0.5698516483
161	0.5698396658
162	0.569809792
163	0.569806278
164	0.5698019386
165	0.5697786572
166	0.5697402703
167	0.5697043795
168	0.569683277
169	0.5696355734
170	0.5695870337
171	0.5695519528
172	0.5695293848
173	0.5694863656
174	0.569478954
175	0.569439342
176	0.5693982407
177	0.5693692826
178	0.5693657265
179	0.5693493176
180	0.5693149951
181	0.5692698756
182	0.5692419472
183	0.5692281616
184	0.5691645701
185	0.5691349629
186	0.5691119642
187	0.56905091
188	0.5690287172
189	0.5689838782
190	0.568951684
191	0.568912536
192	0.5688824704
193	0.5688690875
194	0.5688384228
195	0.5688045659
196	0.5687768893
197	0.5687623449
198	0.5687499585
199	0.5687324938
200	0.5686915414
201	0.5686395519
202	0.5686259751
203	0.5686185434
204	0.568580158
205	0.5685457782
206	0.5685092915
207	0.5684908969
208	0.5684758686
209	0.5684718885
210	0.568440142
211	0.5684053232
212	0.56838344
213	0.5683664316
214	0.5683417074
215	0.5683069952
216	0.5682975238
217	0.568252146
218	0.5682354963
219	0.5682278093
220	0.5681904397
221	0.56818917
222	0.568183837
223	0.5681757124
224	0.5681422925
225	0.5681119788
226	0.5680721412
227	0.5680221396
228	0.5680162567
229	0.5679921749
230	0.5679608407
231	0.5679268325
232	0.5679236641
233	0.5678952939
234	0.5678409617
235	0.5677936794
236	0.5677669881
237	0.5677505867
238	0.5677133272
239	0.5676755756
240	0.5676313424
241	0.5676101177
242	0.5675811378
243	0.567556802
244	0.5675517336
245	0.567549831
246	0.5675347904
247	0.5675218365
248	0.5675130907
249	0.567501419
250	0.5674996319
251	0.5674952707
252	0.5674934786
253	0.5674781438
254	0.5674493307
255	0.5674072562
256	0.5673720118
257	0.5673372626
258	0.5673001735
259	0.5672975186
260	0.5672673287
261	0.5672449991
262	0.5672073165
263	0.567202218
264	0.5671867314
265	0.5671853154
266	0.5671581967
267	0.5671402019
268	0.5671195735
269	0.5671157333
270	0.5671003389
271	0.5670608601
