iter	Passed	Remaining
0	62	62658
1	134	67222
2	196	65412
3	285	71084
4	416	82928
5	508	84259
6	580	82330
7	685	85036
8	789	86975
9	856	84753
10	950	85413
11	1022	84162
12	1110	84308
13	1215	85599
14	1346	88438
15	1451	89278
16	1512	87445
17	1581	86283
18	1653	85361
19	1710	83798
20	1771	82574
21	1862	82810
22	1924	81728
23	1984	80717
24	2040	79595
25	2108	78983
26	2169	78173
27	2234	77571
28	2306	77241
29	2389	77264
30	2472	77276
31	2580	78066
32	2657	77875
33	2714	77114
34	2770	76398
35	2843	76141
36	2914	75857
37	2953	74760
38	3025	74554
39	3097	74335
40	3164	74023
41	3231	73705
42	3296	73374
43	3362	73047
44	3436	72939
45	3502	72632
46	3569	72380
47	3637	72145
48	3703	71883
49	3783	71884
50	3856	71754
51	3913	71350
52	3984	71203
53	4056	71063
54	4129	70956
55	4202	70847
56	4277	70773
57	4358	70781
58	4429	70644
59	4501	70521
60	4560	70199
61	4631	70070
62	4698	69874
63	4769	69748
64	4830	69481
65	4900	69354
66	4973	69262
67	5045	69152
68	5118	69064
69	5197	69056
70	5261	68844
71	5340	68838
72	5418	68810
73	5491	68719
74	5549	68442
75	5617	68294
76	5684	68141
77	5752	67993
78	5838	68065
79	5910	67971
80	5984	67892
81	6043	67652
82	6118	67600
83	6177	67363
84	6248	67263
85	6317	67139
86	6376	66913
87	6446	66814
88	6512	66658
89	6588	66617
90	6625	66182
91	6706	66189
92	6733	65672
93	6803	65570
94	6874	65485
95	6942	65373
96	7019	65350
97	7095	65310
98	7167	65229
99	7243	65190
100	7307	65047
101	7371	64895
102	7444	64829
103	7532	64899
104	7611	64881
105	7681	64783
106	7754	64717
107	7817	64566
108	7885	64461
109	7962	64427
110	8021	64244
111	8092	64158
112	8159	64045
113	8237	64019
114	8308	63936
115	8379	63856
116	8458	63832
117	8522	63698
118	8590	63595
119	8647	63413
120	8719	63343
121	8793	63282
122	8876	63288
123	8954	63256
124	9038	63271
125	9142	63418
126	9213	63335
127	9278	63211
128	9346	63108
129	9413	62995
130	9485	62924
131	9557	62850
132	9620	62711
133	9695	62659
134	9772	62614
135	9848	62567
136	9921	62495
137	9994	62427
138	10066	62355
139	10138	62278
140	10211	62211
141	10271	62061
142	10354	62054
143	10428	61989
144	10499	61913
145	10570	61828
146	10651	61804
147	10726	61749
148	10803	61702
149	10873	61618
150	10942	61523
151	11018	61472
152	11094	61419
153	11163	61329
154	11228	61214
155	11303	61155
156	11361	61006
157	11432	60924
158	11511	60885
159	11595	60876
160	11674	60837
161	11763	60851
162	11824	60720
163	11900	60661
164	11977	60613
165	12051	60546
166	12132	60515
167	12214	60489
168	12296	60463
169	12374	60418
170	12453	60373
171	12528	60309
172	12599	60231
173	12699	60285
174	12764	60173
175	12844	60135
176	12916	60057
177	13000	60035
178	13077	59980
179	13145	59884
180	13224	59837
181	13296	59762
182	13374	59710
183	13452	59660
184	13528	59596
185	13616	59589
186	13689	59518
187	13769	59472
188	13841	59393
189	13924	59360
190	13999	59295
191	14071	59215
192	14154	59183
193	14229	59116
194	14305	59057
195	14381	58992
196	14457	58932
197	14529	58850
198	14595	58747
199	14658	58633
200	14721	58521
201	14790	58429
202	14871	58388
203	14941	58302
204	15014	58226
205	15087	58152
206	15150	58041
207	15226	57976
208	15309	57941
209	15386	57882
210	15469	57845
211	15544	57779
212	15616	57699
213	15687	57619
214	15765	57563
215	15837	57486
216	15902	57381
217	15969	57285
218	16034	57183
219	16114	57131
220	16189	57066
221	16256	56972
222	16335	56917
223	16424	56897
224	16501	56839
225	16570	56748
226	16640	56666
227	16705	56562
228	16764	56443
229	16844	56393
230	16920	56328
231	16989	56240
232	17059	56156
233	17134	56088
234	17194	55972
235	17261	55881
236	17327	55784
237	17403	55719
238	17472	55634
239	17546	55563
240	17615	55477
241	17688	55403
242	17759	55325
243	17837	55265
244	17915	55207
245	17981	55115
246	18051	55030
247	18125	54960
248	18198	54887
249	18273	54819
250	18331	54702
251	18410	54647
252	18491	54597
253	18569	54539
254	18644	54471
255	18714	54388
256	18799	54351
257	18882	54304
258	18955	54230
259	19033	54173
260	19117	54129
261	19179	54024
262	19245	53931
263	19315	53849
264	19387	53774
265	19463	53707
266	19525	53604
267	19605	53547
268	19678	53476
269	19749	53396
270	19822	53323
271	19892	53241
272	19970	53181
273	20055	53139
274	20138	53091
275	20219	53039
276	20286	52949
277	20373	52913
278	20437	52815
279	20512	52746
280	20588	52680
281	20659	52601
282	20732	52526
283	20816	52480
284	20888	52404
285	20960	52327
286	21038	52265
287	21110	52190
288	21180	52108
289	21253	52033
290	21320	51946
291	21390	51864
292	21461	51785
293	21531	51704
294	21608	51640
295	21686	51578
296	21766	51521
297	21847	51465
298	21919	51388
299	21985	51298
300	22049	51205
301	22123	51132
302	22196	51059
303	22273	50994
304	22345	50917
305	22396	50794
306	22472	50728
307	22546	50656
308	22619	50583
309	22697	50519
310	22781	50471
311	22858	50406
312	22932	50333
313	23001	50252
314	23072	50172
315	23165	50142
316	23245	50084
317	23315	50004
318	23385	49922
319	23455	49843
320	23519	49750
321	23608	49710
322	23681	49635
323	23746	49545
324	23833	49500
325	23905	49424
326	23975	49343
327	24047	49267
328	24132	49217
329	24209	49152
330	24274	49062
331	24359	49012
332	24425	48924
333	24501	48856
334	24560	48754
335	24643	48700
336	24717	48627
337	24803	48579
338	24883	48519
339	24950	48433
340	25017	48348
341	25091	48275
342	25168	48208
343	25246	48143
344	25314	48061
345	25392	47996
346	25459	47910
347	25527	47827
348	25592	47739
349	25667	47667
350	25741	47595
351	25806	47506
352	25870	47416
353	25945	47347
354	26023	47282
355	26096	47207
356	26161	47120
357	26246	47067
358	26325	47004
359	26407	46946
360	26481	46875
